Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;01;062;386;43443;1300;13;0
100;1;03;062;85;11161;1400;14;0
100;1;02;062;68;9000;1400;14;0
100;1;10;062;499;71211;1400;14;0
100;1;01;064;32;4283;1400;14;0
100;1;03;064;206;26864;1400;14;0
100;1;02;064;1;146;1400;14;0
100;1;10;064;385;50977;1400;14;0
100;1;01;066;212;29760;1400;14;0
100;1;03;066;286;37854;1300;13;0
100;1;02;066;1;145;1400;14;0
100;1;10;066;1;154;1500;15;0
100;1;03;068;6;833;1400;14;0
100;1;01;068;112;15162;1400;14;0
100;1;02;068;92;11861;1300;13;0
100;1;10;068;1;151;1500;15;0
100;1;03;070;341;43631;1300;13;0
100;1;01;070;115;15797;1400;14;0
100;1;02;070;109;14429;1400;14;0
100;1;10;070;93;12687;1500;15;0
100;1;03;072;253;33697;1400;14;0
100;1;02;072;297;39456;1300;13;0
100;1;01;072;75;10209;1400;14;0
100;1;10;072;1;162;1500;15;0
100;1;03;074;381;47169;1300;13;0
100;1;02;074;445;59483;1300;13;0
100;1;01;074;409;55497;1400;14;0
100;1;10;074;395;52526;1500;15;0
100;1;03;076;341;44995;1400;14;0
100;1;02;076;54;7022;1300;13;0
100;1;01;076;76;10472;1400;14;0
100;1;10;076;46;6116;1500;15;0
100;1;03;078;492;64850;1300;13;0
100;1;02;078;17;2208;1400;14;0
100;1;01;078;1;155;1400;14;0
100;1;10;078;366;43416;1400;14;0
100;1;03;080;109;13918;1400;14;0
100;1;02;080;68;9005;1400;14;0
100;1;01;080;251;35414;1400;14;0
100;1;10;080;73;9716;1400;14;0
100;1;07;062;342;48132;1400;14;0
100;1;06;062;349;48718;1300;13;0
100;1;04;062;1;167;1400;14;0
100;1;05;062;1;168;1500;15;0
100;1;07;064;292;43081;1300;13;0
100;1;06;064;1;153;1400;14;0
100;1;04;064;144;21274;1400;14;0
100;1;05;064;1;164;1400;14;0
100;1;07;066;242;33901;1500;15;0
100;1;06;066;245;32568;1200;12;0
100;1;05;066;5;729;1500;15;0
100;1;04;066;1;160;1300;13;0
100;1;07;068;1;165;1500;15;0
100;1;06;068;1;155;1300;13;0
100;1;05;068;89;13065;1500;15;0
100;1;04;068;444;66842;1400;14;0
100;1;07;070;4;602;1500;15;0
100;1;06;070;215;29308;1200;12;0
100;1;05;070;1;158;1500;15;0
100;1;04;070;105;15211;1400;14;0
100;1;06;072;16;1995;1300;13;0
100;1;07;072;238;33776;1400;14;0
100;1;05;072;160;23702;1400;14;0
100;1;04;072;1;165;1400;14;0
100;1;06;074;104;14105;1300;13;0
100;1;07;074;391;56310;1400;14;0
100;1;05;074;431;65486;1500;15;0
100;1;04;074;295;44077;1300;13;0
100;1;06;076;375;50092;1200;12;0
100;1;07;076;169;22680;1400;14;0
100;1;06;078;359;45719;1300;13;0
100;1;05;076;273;39436;1400;14;0
100;1;04;076;1;169;1500;15;0
