Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;03;062;114;16646;4000;14;0
100;1;02;062;362;53155;3600;13;0
100;1;01;062;377;56404;3500;13;0
100;1;10;062;304;47046;3800;15;0
100;1;03;064;499;69218;3700;15;0
100;1;02;064;198;27827;4000;14;0
100;1;10;064;251;34147;4100;15;0
100;1;01;064;142;20563;3600;14;0
100;1;03;066;453;64453;3800;15;0
100;1;02;066;352;49963;4200;15;0
100;1;01;066;304;44148;3600;15;0
100;1;10;066;409;61108;4000;15;0
100;1;02;068;480;67172;3800;14;0
100;1;03;068;485;69959;3200;13;0
100;1;10;068;200;29141;4000;15;0
100;1;01;068;319;46914;3600;14;0
100;1;02;070;395;56072;3800;14;0
100;1;03;070;179;25425;3600;15;0
100;1;10;070;208;31114;4200;15;0
100;1;01;070;463;69705;3600;15;0
100;1;02;072;258;37572;4200;14;0
100;1;03;072;387;56918;3800;15;0
100;1;10;072;2;336;4400;15;0
100;1;01;072;104;15229;3600;15;0
100;1;02;074;495;70292;4000;15;0
100;1;03;074;423;61482;3900;15;0
100;1;10;074;328;47728;4300;16;0
100;1;01;074;85;12924;3800;15;0
100;1;02;076;139;19830;3900;15;0
100;1;03;076;320;46101;4000;14;0
100;1;10;076;333;48201;3600;14;0
100;1;01;076;418;60993;3700;15;0
100;1;02;078;442;62449;3900;14;0
100;1;03;078;398;57691;3600;14;0
100;1;10;078;135;20702;4100;15;0
100;1;01;078;391;59301;3200;13;0
100;1;02;080;1;160;4100;15;0
100;1;03;080;210;29227;3700;15;0
100;1;10;080;156;23333;4500;16;0
100;1;01;080;356;53444;3700;15;0
100;1;06;062;487;70056;3900;15;0
100;1;07;062;362;49602;3900;14;0
100;1;05;062;388;62059;4200;16;0
100;1;04;062;437;70411;3300;13;0
100;1;06;064;1;166;4200;14;0
100;1;07;064;103;16190;4100;15;0
100;1;05;064;353;56366;4000;15;0
100;1;04;064;405;63911;3600;15;0
100;1;06;066;131;18871;3700;13;0
100;1;07;066;178;26406;3900;14;0
100;1;05;066;11;1682;3900;14;0
100;1;04;066;1;178;3500;15;0
100;1;06;068;169;24970;3800;15;0
100;1;07;068;383;58595;4300;15;0
100;1;05;068;1;180;4100;15;0
100;1;04;068;230;37614;3500;14;0
100;1;06;070;110;16071;3900;14;0
100;1;07;070;454;71457;4100;15;0
100;1;05;070;278;43033;4200;16;0
100;1;04;070;409;66646;3600;14;0
100;1;06;072;1;171;3800;15;0
100;1;07;072;303;47461;4400;15;0
100;1;05;072;250;39490;3900;15;0
100;1;04;072;114;17798;3800;14;0
100;1;06;074;293;44126;3900;14;0
100;1;07;074;421;65655;3900;13;0
100;1;05;074;189;30418;3900;15;0
100;1;04;074;388;62267;3400;13;0
100;1;06;076;258;38813;4100;15;0
100;1;07;076;370;56833;4200;15;0
100;1;05;076;189;29188;3800;15;0
100;1;06;078;292;43491;4000;14;0
100;1;04;076;427;65898;3700;14;0
100;1;07;078;1;186;4200;15;0
100;1;05;078;22;3550;4500;16;0
100;1;06;080;457;65004;3900;15;0
100;1;04;078;202;32929;3900;15;0
100;1;07;080;419;64371;4100;15;0
100;1;05;080;240;37218;4300;15;0
100;1;04;080;369;57299;3200;13;0
100;1;09;062;145;20289;3900;15;0
100;3;01;062;226;72652;1500;7;0
100;1;08;062;305;44080;4200;15;0
100;3;10;062;272;91262;1600;6;0
100;1;09;064;403;57076;4100;16;0
100;1;08;064;98;14251;4400;14;0
100;1;09;066;79;11267;4200;15;0
100;1;08;066;391;57197;4200;15;0
100;3;01;064;301;98960;1600;7;0
100;1;09;068;240;33308;3700;15;0
100;3;10;064;133;43981;1600;7;0
100;1;08;068;227;32644;4300;15;0
100;1;09;070;251;35120;3900;14;0
100;1;08;070;474;70652;4300;15;0
100;3;01;066;198;63259;1500;7;0
100;1;09;072;464;64598;3900;15;0
100;3;10;066;26;8741;1800;7;0
100;1;08;072;30;4324;4200;15;0
100;1;09;074;389;55411;4000;15;0
100;1;08;074;368;54322;4300;15;0
100;1;09;076;9;1260;3400;15;0
100;3;01;068;203;65909;1600;7;0
100;1;08;076;337;48996;4300;15;0
100;3;10;068;107;36013;1600;6;0
100;1;09;078;476;68664;4000;15;0
100;1;08;078;147;20865;4200;16;0
100;1;09;080;185;26470;3900;15;0
100;3;01;070;1;353;1700;6;0
100;1;08;080;485;70913;4200;16;0
100;3;10;070;33;11299;1600;6;0
100;3;03;062;1;355;1900;7;0
100;3;01;072;173;55862;1500;6;0
100;3;02;062;19;6589;1900;7;0
100;3;10;072;2;689;1600;7;0
100;3;03;064;357;114507;1600;7;0
100;3;01;074;291;96019;1700;7;0
100;3;02;064;1;365;1800;7;0
100;3;10;074;232;77095;1500;7;0
100;3;03;066;1;353;1800;7;0
100;3;01;076;300;93771;1700;6;0
100;3;02;066;1;378;1700;6;0
100;3;10;076;189;63906;1600;7;0
100;3;03;068;377;124172;1500;7;0
