Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;10;022;264;33407;1500;15;0
100;1;02;022;144;19585;1300;13;0
100;1;03;022;294;41833;1400;14;0
100;1;01;022;1;205;1400;14;0
100;1;04;022;2;360;1400;14;0
100;1;10;024;323;37392;1400;14;0
100;1;03;024;314;46785;1400;14;0
100;1;02;024;256;39523;1300;13;0
100;1;01;024;1;156;1400;14;0
100;1;04;024;354;57926;1400;14;0
100;1;10;026;1;143;1500;15;0
100;1;03;026;1;187;1400;14;0
100;1;02;026;71;11438;1500;15;0
100;1;01;026;17;2725;1400;14;0
100;1;10;028;219;23814;1400;14;0
100;1;04;026;16;2691;1400;14;0
100;1;03;028;275;41440;1500;15;0
100;1;10;030;1;137;1600;16;0
100;1;02;028;182;27348;1400;14;0
100;1;01;028;1;177;1500;15;0
100;1;04;028;369;57491;1400;14;0
100;1;02;030;16;1774;1300;13;0
100;1;03;030;165;18735;1400;14;0
100;1;10;032;1;148;1500;15;0
100;1;01;030;1;146;1400;14;0
100;1;04;030;10;1397;1400;14;0
100;1;03;032;28;3039;1400;14;0
100;1;02;032;1;130;1500;15;0
100;1;10;034;85;11632;1500;15;0
100;1;01;032;376;54283;1400;14;0
100;1;04;032;366;54400;1400;14;0
100;1;03;034;373;40394;1400;14;0
100;1;02;034;389;54836;1400;14;0
100;1;10;036;1;166;1500;15;0
100;1;01;034;481;63562;1400;14;0
100;1;03;036;494;54497;1300;13;0
100;1;04;034;8;1257;1400;14;0
100;1;02;036;193;27990;1400;14;0
100;1;03;038;486;53039;1400;14;0
100;1;10;038;77;11300;1500;15;0
100;1;01;036;68;9834;1400;14;0
100;1;04;036;3;484;1400;14;0
100;1;03;040;423;44962;1300;13;0
100;1;02;038;336;48950;1300;13;0
100;1;10;040;491;74088;1400;14;0
100;1;01;038;2;318;1500;15;0
100;1;08;022;110;12146;1500;15;0
100;1;04;038;464;67615;1300;13;0
100;1;02;040;1;170;1400;14;0
100;1;06;022;434;66746;1400;14;0
100;1;01;040;100;14538;1400;14;0
100;1;08;024;451;52307;1400;14;0
100;1;04;040;283;46774;1300;13;0
100;1;07;022;460;75049;1400;14;0
100;1;08;026;155;17645;1400;14;0
100;1;06;024;1;175;1500;15;0
100;1;05;022;1;188;1500;15;0
100;1;09;022;306;46845;1400;14;0
100;1;08;028;1;148;1500;15;0
100;1;07;024;51;8467;1400;14;0
100;1;06;026;390;64909;1300;13;0
100;1;05;024;13;2156;1400;14;0
100;1;08;030;285;36413;1500;15;0
100;1;09;024;20;3100;1500;15;0
100;1;07;026;186;32905;1400;14;0
100;1;06;028;375;57198;1300;13;0
100;1;08;032;344;40498;1400;14;0
100;1;05;026;2;426;1500;15;0
100;1;09;026;375;50139;1400;14;0
100;1;08;034;116;13004;1500;15;0
100;1;06;030;467;76139;1300;13;0
100;1;07;028;365;61394;1400;14;0
100;1;09;028;2;301;1500;15;0
100;1;05;028;425;70613;1400;14;0
100;1;08;036;2;257;1500;15;0
100;1;06;032;379;61871;1300;13;0
100;1;07;030;1;182;1500;15;0
100;1;09;030;1;190;1500;15;0
100;1;05;030;447;73317;1400;14;0
100;1;08;038;1;121;1500;15;0
100;1;08;040;22;2422;1400;14;0
100;1;06;034;259;41732;1200;12;0
100;1;07;032;172;28673;1400;14;0
100;1;09;032;65;9918;1500;15;0
100;1;05;032;51;8335;1500;15;0
100;1;06;036;3;629;1200;12;0
100;1;09;034;48;7427;1500;15;0
100;1;07;034;305;52771;1400;14;0
100;2;04;022;337;66308;800;8;0
100;1;05;034;427;71093;1400;14;0
