File;Generations;Time;Fitness;Regenerators;Disconnected
dataN100P1Inst4.txt;17;3768;2200;22;0
dataN100P1Inst2.txt;8;1517;1900;19;0
dataN100P1Inst10.txt;20;4785;2200;22;0
dataN100P1Inst1.txt;19;4507;1700;17;0
dataN100P1Inst3.txt;13;3045;2000;20;0
dataN100P1Inst6.txt;13;2366;1800;18;0
dataN100P1Inst9.txt;13;2755;2400;24;0
dataN100P1Inst7.txt;15;3242;2200;22;0
dataN100P1Inst5.txt;20;4590;2400;24;0
dataN100P1Inst8.txt;16;3330;2200;22;0
dataN100P2Inst2.txt;16;2399;1300;13;0
dataN100P2Inst5.txt;19;2653;1200;12;0
dataN100P2Inst4.txt;19;2537;1100;11;0
dataN100P2Inst3.txt;20;2955;1300;13;0
dataN100P2Inst1.txt;18;2684;1200;12;0
dataN100P3Inst10.txt;19;2504;1700;17;0
dataN100P3Inst4.txt;20;2659;1800;18;0
dataN100P3Inst2.txt;20;2619;2300;23;0
dataN100P3Inst3.txt;20;2696;1800;18;0
dataN100P3Inst1.txt;17;2276;1500;15;0
dataN100P3Inst6.txt;19;2555;1800;18;0
dataN100P3Inst9.txt;20;2685;2000;20;0
dataN100P3Inst8.txt;19;2507;1800;18;0
dataN100P3Inst7.txt;19;2672;800;8;0
dataN100P3Inst5.txt;19;2683;1400;14;0
dataN100P4Inst5.txt;20;3483;1900;19;0
dataN100P4Inst2.txt;20;3525;1600;16;0
dataN100P4Inst4.txt;20;3365;2100;21;0
dataN100P4Inst3.txt;20;3483;1500;15;0
dataN100P4Inst1.txt;20;3518;1700;17;0
dataN100P5Inst4.txt;18;2986;2300;23;0
dataN100P5Inst3.txt;20;3257;2000;20;0
dataN100P5Inst10.txt;19;3203;2200;22;0
dataN100P5Inst2.txt;20;3291;2000;20;0
dataN100P5Inst1.txt;19;3039;2300;23;0
dataN100P5Inst9.txt;20;2799;1900;19;0
dataN100P5Inst8.txt;20;2769;2200;22;0
dataN100P5Inst6.txt;20;2828;2000;20;0
dataN100P5Inst7.txt;20;2707;2100;21;0
dataN100P5Inst5.txt;19;2658;2000;20;0
dataN100P6Inst5.txt;20;2633;1700;17;0
dataN100P6Inst4.txt;20;2665;2200;22;0
dataN100P6Inst2.txt;20;2631;1900;19;0
dataN100P6Inst3.txt;20;2611;2000;20;0
dataN100P6Inst1.txt;20;2677;2200;22;0
dataN100P7Inst4.txt;20;2687;2200;22;0
dataN100P7Inst3.txt;20;2713;2200;22;0
dataN100P7Inst10.txt;20;2714;2200;22;0
dataN100P7Inst2.txt;20;2625;2200;22;0
dataN100P7Inst1.txt;20;2596;2200;22;0
dataN100P7Inst9.txt;20;2532;2200;22;0
dataN100P7Inst8.txt;20;2520;2200;22;0
dataN100P7Inst6.txt;20;2588;2200;22;0
dataN100P7Inst7.txt;20;2598;2200;22;0
dataN100P7Inst5.txt;20;2488;2200;22;0
dataN100P8Inst4.txt;20;2459;2200;22;0
dataN100P8Inst5.txt;20;2538;2200;22;0
dataN100P8Inst2.txt;20;2548;2200;22;0
dataN100P8Inst3.txt;20;2542;2200;22;0
dataN100P8Inst1.txt;20;2462;2200;22;0
dataN100P9Inst3.txt;20;2430;2200;22;0
dataN100P9Inst4.txt;20;2454;2200;22;0
dataN100P9Inst10.txt;20;2479;2200;22;0
dataN100P9Inst2.txt;20;2431;2200;22;0
dataN100P9Inst1.txt;20;2456;2200;22;0
dataN100P9Inst8.txt;20;2545;2200;22;0
dataN100P9Inst9.txt;20;2561;2200;22;0
dataN100P9Inst7.txt;20;2542;2200;22;0
dataN100P9Inst6.txt;20;2614;2200;22;0
dataN100P9Inst5.txt;20;2615;2200;22;0
dataN40P1Inst3.txt;5;325;1100;11;0
dataN40P1Inst4.txt;13;1143;1600;16;0
dataN40P1Inst2.txt;8;584;1800;13;1
dataN40P1Inst10.txt;10;980;1400;14;0
dataN40P1Inst1.txt;14;1291;2600;11;3
dataN40P1Inst8.txt;11;558;1000;10;0
dataN40P1Inst9.txt;17;1615;1900;14;1
dataN40P1Inst7.txt;5;317;2500;15;2
dataN40P1Inst5.txt;5;300;1900;14;1
dataN40P1Inst6.txt;7;593;2200;12;2
dataN40P2Inst4.txt;5;370;600;6;0
dataN40P2Inst5.txt;1;58;1000;10;0
dataN40P2Inst1.txt;9;679;800;8;0
dataN40P2Inst3.txt;12;1063;800;8;0
dataN40P2Inst2.txt;10;878;800;8;0
