sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;03;002;200;97877;1300;13;0
100;1;02;002;343;172601;1300;13;0
100;1;01;002;413;217953;1300;13;0
100;1;10;002;227;116433;1400;14;0
100;1;03;004;10;5994;1300;13;0
100;1;02;004;3;1723;1300;13;0
100;1;01;004;49;30314;1300;13;0
100;1;10;004;277;114770;1400;14;0
100;1;03;006;61;19402;1400;14;0
100;1;02;006;133;42502;1300;13;0
100;1;10;006;427;137178;1300;13;0
100;1;01;006;2;577;1400;14;0
100;1;03;008;42;13161;1300;13;0
100;1;02;008;389;123117;1200;12;0
100;1;10;008;5;1497;1400;14;0
100;1;01;008;43;13453;1300;13;0
100;1;03;010;451;139419;1400;14;0
100;1;02;010;233;72066;1200;12;0
100;1;10;010;14;4287;1400;14;0
100;1;01;010;169;53290;1300;13;0
100;1;03;012;5;1473;1300;13;0
100;1;02;012;406;128306;1200;12;0
100;1;10;012;42;13332;1400;14;0
100;1;01;012;188;60578;1300;13;0
100;1;03;014;323;102835;1300;13;0
100;1;02;014;66;20599;1200;12;0
100;1;10;014;203;65445;1400;14;0
100;1;01;014;421;134890;1300;13;0
100;1;02;016;23;7119;1300;13;0
100;1;03;016;2;540;1400;14;0
100;1;10;016;144;44314;1300;13;0
100;1;01;016;2;535;1400;14;0
100;1;02;018;272;83903;1300;13;0
100;1;03;018;3;828;1300;13;0
100;1;10;018;180;55988;1300;13;0
100;1;01;018;53;16547;1300;13;0
100;1;02;020;231;72138;1200;12;0
100;1;03;020;3;860;1400;14;0
100;1;10;020;92;28553;1400;14;0
100;1;01;020;4;1158;1400;14;0
100;1;07;002;216;66757;1300;13;0
100;1;06;002;370;117985;1300;13;0
100;1;05;002;366;116079;1400;14;0
100;1;04;002;135;42675;1300;13;0
100;1;07;004;42;12932;1400;14;0
100;1;06;004;202;63147;1300;13;0
100;1;05;004;190;59918;1400;14;0
100;1;04;004;154;48835;1300;13;0
100;1;07;006;3;843;1500;15;0
100;1;06;006;64;19945;1300;13;0
100;1;05;006;450;142583;1400;14;0
100;1;04;006;8;2415;1300;13;0
100;1;07;008;10;3084;1400;14;0
100;1;06;008;360;113107;1300;13;0
100;1;05;008;11;3363;1400;14;0
100;1;04;008;10;3059;1300;13;0
100;1;07;010;171;52961;1400;14;0
100;1;06;010;75;23140;1400;14;0
100;1;05;010;73;23226;1400;14;0
100;1;04;010;110;34374;1300;13;0
100;1;07;012;7;2121;1400;14;0
100;1;06;012;325;1271917;1300;13;0
100;1;05;012;381;1289943;1300;13;0
100;1;04;012;217;1237024;1300;13;0
100;1;07;014;28;8462;1400;14;0
100;1;06;014;387;122753;1300;13;0
100;1;05;014;357;115757;1400;14;0
100;1;04;014;51;16255;1400;14;0
100;1;07;016;160;49993;1300;13;0
100;1;06;016;479;151562;1300;13;0
100;1;05;016;20;6217;1400;14;0
100;1;04;016;346;109888;1300;13;0
100;1;07;018;57;18032;1400;14;0
100;1;06;018;68;21248;1300;13;0
100;1;05;018;4;1154;1400;14;0
100;1;04;018;49;15224;1300;13;0
100;1;07;020;155;48809;1400;14;0
100;1;06;020;194;60615;1200;12;0
100;1;05;020;94;29674;1400;14;0
100;1;04;020;10;3059;1300;13;0
100;2;02;002;110;37463;700;7;0
100;2;01;002;55;18037;800;8;0
100;1;09;002;378;119838;1300;13;0
100;1;08;002;408;128550;1400;14;0
100;2;01;004;5;1528;800;8;0
100;2;02;004;3;811;800;8;0
