sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;02;5;26;484;1300;13;0
100;1;04;5;60;911;1300;13;0
100;1;03;5;30;537;1300;13;0
100;1;01;5;44;728;1400;14;0
100;1;10;5;36;624;1300;13;0
100;1;03;20;29;356;1300;13;0
100;1;02;20;30;374;1300;13;0
100;1;01;20;38;487;1300;13;0
100;1;04;20;47;593;1400;14;0
100;1;10;20;32;416;1300;13;0
100;1;03;35;31;383;1400;14;0
100;1;02;35;35;445;1200;12;0
100;1;01;35;33;434;1400;14;0
100;1;04;35;39;501;1300;13;0
100;1;10;35;357;4642;1300;13;0
100;1;03;50;41;510;1300;13;0
100;1;02;50;31;390;1200;12;0
100;1;01;50;52;733;1300;13;0
100;1;04;50;58;763;1300;13;0
100;1;10;50;31;428;1300;13;0
100;1;03;65;49;617;1300;13;0
100;1;02;65;141;2023;1200;12;0
100;1;04;65;63;901;1300;13;0
100;1;01;65;52;820;1400;14;0
100;1;10;65;47;632;1300;13;0
100;1;03;80;36;437;1300;13;0
100;1;02;80;34;522;1200;12;0
100;1;04;80;282;3765;1300;13;0
100;1;01;80;42;545;1400;14;0
100;1;03;95;38;464;1300;13;0
100;1;10;80;210;2851;1300;13;0
