sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;01;002;53;662;1300;13;0
100;1;10;002;41;531;1300;13;0
100;1;01;004;42;523;1300;13;0
100;1;10;004;364;4735;1300;13;0
100;1;01;006;41;509;1300;13;0
100;1;10;006;31;396;1400;14;0
100;1;01;008;43;536;1300;13;0
100;1;10;008;34;443;1300;13;0
100;1;01;010;66;852;1300;13;0
100;1;10;010;26;358;1400;14;0
100;1;01;012;54;691;1200;12;0
100;1;10;012;31;395;1400;14;0
100;1;01;014;54;681;1400;14;0
100;1;10;014;35;452;1300;13;0
100;1;01;016;44;545;1300;13;0
100;1;10;016;30;374;1400;14;0
100;1;01;018;52;647;1300;13;0
100;1;10;018;33;417;1400;14;0
100;1;01;020;38;479;1300;13;0
100;1;10;020;32;410;1300;13;0
100;1;02;002;31;377;1200;12;0
100;1;03;002;35;420;1400;14;0
100;1;02;004;25;307;1300;13;0
100;1;03;004;33;399;1300;13;0
100;1;02;006;27;334;1300;13;0
100;1;03;006;33;392;1400;14;0
100;1;02;008;26;319;1300;13;0
100;1;03;008;53;665;1300;13;0
100;1;02;010;36;437;1200;12;0
100;1;03;010;32;382;1300;13;0
100;1;02;012;29;348;1300;13;0
100;1;03;012;41;487;1300;13;0
100;1;02;014;38;464;1200;12;0
100;1;03;014;34;412;1300;13;0
100;1;02;016;31;380;1200;12;0
100;1;03;016;38;454;1400;14;0
100;1;02;018;23;282;1300;13;0
100;1;03;018;33;395;1400;14;0
100;1;02;020;30;371;1300;13;0
100;1;03;020;29;346;1300;13;0
100;1;04;002;50;626;1300;13;0
100;1;05;002;57;710;1400;14;0
100;1;04;004;43;542;1300;13;0
100;1;05;004;67;827;1400;14;0
100;1;04;006;48;591;1300;13;0
100;1;05;006;48;588;1400;14;0
100;1;04;008;65;807;1400;14;0
100;1;05;008;57;695;1500;15;0
100;1;04;010;79;929;1300;13;0
100;1;05;010;51;627;1400;14;0
100;1;04;012;73;934;1300;13;0
100;1;05;012;62;772;1400;14;0
100;1;04;014;49;615;1300;13;0
100;1;05;014;57;711;1400;14;0
100;1;04;016;56;707;1300;13;0
100;1;05;016;58;734;1400;14;0
100;1;04;018;57;700;1400;14;0
100;1;05;018;47;584;1400;14;0
100;1;05;020;51;623;1400;14;0
100;1;04;020;47;577;1400;14;0
100;1;07;002;41;491;1300;13;0
100;1;06;002;42;509;1300;13;0
100;1;07;004;41;492;1300;13;0
100;1;06;004;33;402;1200;12;0
100;1;07;006;38;454;1300;13;0
100;1;06;006;33;401;1300;13;0
100;1;07;008;53;640;1300;13;0
100;1;06;008;32;398;1300;13;0
100;1;07;010;44;534;1400;14;0
100;1;06;010;38;455;1300;13;0
100;1;07;012;32;384;1400;14;0
100;1;06;012;37;458;1200;12;0
100;1;07;014;34;407;1300;13;0
100;1;06;014;44;543;1400;14;0
100;1;07;016;39;472;1300;13;0
100;1;06;016;29;360;1400;14;0
100;1;07;018;48;582;1300;13;0
100;1;06;018;288;3440;1200;12;0
100;1;07;020;46;556;1300;13;0
100;1;06;020;45;549;1300;13;0
100;1;09;002;186;2462;1300;13;0
100;1;08;002;47;541;1400;14;0
100;1;08;004;32;373;1500;15;0
100;1;09;004;80;987;1400;14;0
100;1;08;006;37;451;1400;14;0
100;1;09;006;52;645;1400;14;0
100;1;08;008;99;1155;1400;14;0
100;1;09;008;57;701;1300;13;0
100;1;08;010;61;730;1400;14;0
100;1;09;010;400;5140;1400;14;0
100;1;08;012;45;521;1500;15;0
100;1;09;012;47;581;1400;14;0
100;1;08;014;55;666;1500;15;0
100;1;09;014;78;954;1400;14;0
100;1;08;016;85;1013;1400;14;0
100;1;09;016;146;1907;1400;14;0
100;1;08;018;46;548;1400;14;0
100;1;09;018;58;719;1300;13;0
100;1;08;020;42;499;1400;14;0
100;1;09;020;57;704;1400;14;0
100;2;01;002;55;883;800;8;0
100;2;01;004;62;808;800;8;0
100;2;02;002;48;667;800;8;0
100;2;01;006;85;1063;800;8;0
100;2;02;004;67;952;800;8;0
100;2;01;008;319;3982;800;8;0
100;2;02;006;44;610;800;8;0
100;2;01;010;89;1171;900;9;0
100;2;02;008;48;657;800;8;0
100;2;01;012;59;747;800;8;0
100;2;02;010;35;479;800;8;0
100;2;01;014;50;670;800;8;0
