sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;02;022;56;2535;1400;14;0
100;1;06;022;44;2218;1500;15;0
100;1;04;022;45;2134;1400;14;0
100;1;10;022;53;2607;1400;14;0
100;1;05;022;413;22173;1500;15;0
100;1;03;022;91;4921;1400;14;0
100;1;01;022;56;2937;1500;15;0
100;1;02;024;102;4197;1300;13;0
100;1;06;024;58;2883;1500;15;0
100;1;05;024;99;4793;1500;15;0
100;1;04;024;40;1971;1500;15;0
100;1;10;024;214;11133;1400;14;0
100;1;03;024;45;1971;1500;15;0
100;1;01;024;191;10170;1300;13;0
100;1;02;026;50;2286;1400;14;0
100;1;10;026;50;2515;1500;15;0
100;1;04;026;50;2626;1300;13;0
100;1;05;026;79;4215;1500;15;0
100;1;06;026;41;2273;1600;16;0
100;1;03;026;47;2403;1500;15;0
100;1;01;026;81;4085;1400;14;0
100;1;02;028;54;2369;1400;14;0
100;1;05;028;104;4561;1500;15;0
100;1;03;028;69;3028;1500;15;0
100;1;04;028;58;2813;1400;14;0
100;1;10;028;385;20815;1400;14;0
100;1;01;028;51;2475;1400;14;0
100;1;06;028;67;3298;1400;14;0
100;1;02;030;44;1978;1400;14;0
100;1;05;030;45;1957;1500;15;0
100;1;03;030;60;2995;1500;15;0
100;1;04;030;49;2318;1500;15;0
100;1;06;030;129;5658;1400;14;0
100;1;01;030;233;10462;1500;15;0
100;1;10;030;57;2821;1500;15;0
100;1;02;032;251;11973;1500;15;0
100;1;05;032;50;2415;1500;15;0
100;1;03;032;47;2083;1500;15;0
100;1;06;032;109;4895;1400;14;0
100;1;01;032;43;2071;1400;14;0
100;1;10;032;42;1955;1600;16;0
100;1;04;032;87;4317;1500;15;0
100;1;02;034;34;1495;1500;15;0
100;1;03;034;79;3321;1300;13;0
100;1;05;034;93;4560;1400;14;0
100;1;01;034;51;2264;1400;14;0
100;1;06;034;230;10389;1200;12;0
100;1;02;036;64;3049;1300;13;0
100;1;10;034;69;3488;1600;16;0
100;1;04;034;44;2283;1400;14;0
100;1;03;036;37;1740;1600;16;0
100;1;05;036;431;21023;1400;14;0
100;1;01;036;67;3395;1500;15;0
100;1;06;036;72;3297;1300;13;0
100;1;10;036;98;4323;1300;13;0
100;1;04;036;51;2481;1400;14;0
100;1;02;038;146;7231;1500;15;0
100;1;05;038;71;3058;1400;14;0
100;1;03;038;154;7736;1400;14;0
100;1;06;038;108;4631;1300;13;0
100;1;01;038;53;2501;1400;14;0
100;1;02;040;56;2511;1300;13;0
100;1;04;038;44;2214;1500;15;0
100;1;10;038;50;2254;1600;16;0
100;1;05;040;317;13039;1400;14;0
100;1;03;040;108;3942;1500;15;0
100;1;06;040;67;2934;1300;13;0
100;1;01;040;137;6352;1500;15;0
100;1;04;040;47;2082;1500;15;0
100;1;10;040;49;2226;1400;14;0
100;1;09;022;61;2926;1500;15;0
100;2;03;022;71;2984;900;9;0
100;2;01;022;36;1348;900;9;0
100;2;04;022;47;2163;1000;10;0
100;1;07;022;75;3326;1500;15;0
100;1;09;024;367;17178;1400;14;0
100;1;08;022;59;2754;1500;15;0
100;2;02;022;276;14882;900;9;0
100;2;01;024;53;2372;900;9;0
100;2;03;024;65;3077;900;9;0
100;1;07;024;141;6280;1400;14;0
100;1;08;024;162;5951;1400;14;0
100;1;09;026;68;3026;1600;16;0
100;2;01;026;68;2399;900;9;0
100;2;04;024;52;2868;1000;10;0
100;2;02;024;39;1577;1000;10;0
100;1;07;026;495;21481;1600;16;0
100;2;03;026;83;3985;900;9;0
100;1;08;026;53;2414;1500;15;0
100;2;01;028;239;10965;900;9;0
100;2;04;026;85;3962;1000;10;0
100;1;09;028;36;1727;1500;15;0
100;1;07;028;42;1961;1500;15;0
100;2;03;028;27;1159;1000;10;0
100;2;02;026;49;2562;1000;10;0
100;2;04;028;84;3810;900;9;0
100;1;08;028;38;1727;1600;16;0
100;2;01;030;37;1766;1100;11;0
100;1;09;030;44;2018;1500;15;0
100;2;03;030;71;2846;900;9;0
100;1;07;030;271;14459;1500;15;0
100;2;02;028;152;7783;900;9;0
100;2;01;032;90;3676;800;8;0
100;1;08;030;214;9515;1500;15;0
100;1;09;032;50;1999;1600;16;0
100;2;04;030;48;2045;1000;10;0
100;2;03;032;397;16684;900;9;0
100;1;07;032;78;3072;1500;15;0
100;1;09;034;81;3575;1500;15;0
100;2;01;034;166;8030;900;9;0
100;1;08;032;35;1672;1500;15;0
100;2;02;030;221;13335;1000;10;0
100;1;07;034;55;2465;1600;16;0
100;2;03;034;51;2304;1000;10;0
100;2;04;032;284;18054;900;9;0
100;1;09;036;77;3459;1400;14;0
100;1;08;034;212;10147;1400;14;0
