sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;03;002;124;28638;4200;16;0
100;1;10;002;35;7244;5500;17;1
100;1;04;002;133;29606;3900;15;0
100;1;01;002;53;11043;4500;18;0
100;1;02;002;441;133968;4600;16;0
100;1;03;004;341;78637;4100;15;0
100;1;10;004;132;33088;5600;18;1
100;1;01;004;49;11958;4500;18;0
100;1;04;004;149;38520;3900;15;0
100;1;02;004;156;37352;4400;16;0
100;1;03;006;112;26206;4300;16;0
100;1;01;006;197;47530;4500;18;0
100;1;10;006;180;44235;5500;18;1
100;1;04;006;96;24405;3900;15;0
100;1;02;006;149;36691;4600;16;0
100;1;10;008;195;43675;5500;18;1
100;1;03;008;51;12729;4100;15;0
100;1;01;008;115;28583;4300;16;0
100;1;02;008;33;7819;4400;16;0
100;1;04;008;194;51202;3900;15;0
100;1;10;010;340;85838;5500;17;1
100;1;03;010;281;70289;4300;16;0
100;1;01;010;168;44146;4500;17;0
100;1;02;010;9;2052;4800;15;0
100;1;04;010;265;66503;3900;15;0
100;1;10;012;204;48954;5500;17;1
100;1;03;012;217;52569;4300;15;0
100;1;01;012;341;84171;4400;17;0
100;1;02;012;165;40314;4400;16;0
100;1;04;012;213;53609;3900;15;0
100;1;10;014;65;15452;5600;17;1
100;1;03;014;152;38402;4200;16;0
100;1;01;014;125;31306;4500;16;0
100;1;02;014;296;72801;4700;17;0
100;1;04;014;81;20811;3900;15;0
100;1;10;016;310;77693;5500;17;1
100;1;01;016;7;1709;4500;17;0
100;1;03;016;69;17151;4200;16;0
100;1;02;016;140;37418;4600;16;0
100;1;04;016;24;6117;3900;15;0
100;1;10;018;115;29176;5500;18;1
100;1;01;018;21;5113;4500;17;0
100;1;03;018;85;21888;4200;16;0
100;1;02;018;403;106583;4400;16;0
100;1;04;018;152;42488;3900;15;0
100;1;10;020;51;13175;5500;17;1
100;1;01;020;98;24510;4400;17;0
100;1;03;020;61;15499;4300;16;0
100;1;02;020;158;39302;4600;17;0
100;1;04;020;25;6017;3900;15;0
100;1;06;002;42;11403;4900;17;0
100;1;05;002;191;52601;4200;17;0
100;1;08;002;389;100944;3800;16;0
100;1;07;002;44;11488;4400;17;0
100;1;09;002;426;108610;3800;15;0
100;1;06;004;156;40332;4900;16;0
100;1;08;004;120;29487;3800;16;0
100;1;05;004;146;36815;4500;18;0
100;1;07;004;77;19876;4200;16;0
100;1;09;004;350;78120;3900;16;0
100;1;06;006;161;35265;4900;16;0
100;1;08;006;60;14991;3800;16;0
100;1;05;006;62;15971;4100;17;0
100;1;07;006;248;61530;4300;17;0
100;1;09;006;147;35049;3800;15;0
100;1;06;008;191;45971;4900;17;0
100;1;08;008;199;52488;3800;16;0
100;1;05;008;483;126953;4100;17;0
100;1;07;008;174;46446;4300;16;0
100;1;09;008;97;24525;4000;16;0
100;1;06;010;285;69514;4900;17;0
100;1;08;010;106;26988;3800;16;0
100;1;05;010;403;106706;4300;18;0
100;1;07;010;362;93904;4200;17;0
100;1;09;010;351;87087;3800;15;0
100;1;06;012;267;67537;4900;17;0
100;1;08;012;124;32252;3800;16;0
100;1;05;012;118;30683;4100;17;0
100;1;07;012;198;49960;4300;16;0
100;1;09;012;348;84996;3900;16;0
100;1;06;014;61;15205;4900;16;0
100;1;08;014;88;22893;3800;16;0
100;1;05;014;131;35634;4100;17;0
100;1;07;014;148;39028;4300;17;0
100;1;09;014;91;22642;4000;16;0
100;1;06;016;31;7714;5000;17;0
100;1;08;016;22;5638;3800;16;0
100;1;05;016;301;77372;4100;17;0
100;1;07;016;451;116740;4200;16;0
100;1;09;016;61;15868;3800;15;0
100;1;06;018;208;51480;4900;16;0
100;1;08;018;275;72626;3800;16;0
100;1;05;018;156;40620;4200;17;0
100;1;07;018;441;113048;4200;16;0
100;1;09;018;300;74491;4000;16;0
100;1;06;020;151;38130;5000;17;0
100;1;08;020;469;120297;3800;16;0
100;1;05;020;199;50966;4400;17;0
100;1;07;020;215;55403;4300;17;0
100;1;09;020;311;77700;3800;15;0
100;3;10;002;101;28769;1600;7;0
100;3;03;002;36;10552;1400;6;0
100;3;01;002;246;59096;1200;6;0
100;3;02;002;94;23366;1500;6;0
100;3;04;002;55;13321;1400;7;0
100;3;10;004;63;12377;1700;7;0
100;3;01;004;205;42122;1200;6;0
100;3;03;004;51;10910;1400;7;0
100;3;02;004;132;28232;1500;7;0
100;3;04;004;247;54019;1400;7;0
100;3;10;006;105;21554;1600;7;0
100;3;01;006;479;111088;1200;6;0
100;3;03;006;12;2537;1400;6;0
100;3;02;006;61;13223;1600;6;0
100;3;04;006;448;104410;1400;7;0
100;3;10;008;44;9335;1600;7;0
100;3;01;008;5;1025;1500;7;0
100;3;03;008;65;15244;1400;6;0
100;3;02;008;159;37325;1600;7;0
100;3;04;008;336;76950;1400;7;0
100;3;10;010;212;45934;1700;7;0
100;3;01;010;15;3326;1500;7;0
100;3;02;010;151;34695;1600;6;0
100;3;03;010;205;48067;1400;7;0
100;3;10;012;158;34065;1700;7;0
