sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;04;002;15;470;4000;15;0
100;1;03;002;130;1812;4300;17;0
100;1;02;002;416;5387;4800;17;0
100;1;01;002;22;567;4500;17;0
100;1;10;002;232;3210;5600;18;1
100;1;04;004;15;200;4000;15;0
100;1;03;004;22;273;4400;17;0
100;1;02;004;331;3980;4700;16;0
100;1;10;004;472;5833;5500;17;1
100;1;01;004;19;247;4500;17;0
100;1;04;006;44;552;4000;15;0
100;1;03;006;21;268;4600;16;0
100;1;02;006;248;3000;5000;17;0
100;1;10;006;464;5596;5600;18;1
100;1;01;006;21;270;4500;18;0
100;1;04;008;16;216;4000;15;0
100;1;02;008;119;1408;4700;16;0
100;1;03;008;53;655;4300;16;0
100;1;10;008;76;919;5600;18;1
100;1;01;008;24;304;4500;18;0
100;1;04;010;18;246;4000;15;0
100;1;02;010;285;3759;4800;17;0
100;1;03;010;205;2874;4400;16;0
100;1;10;010;30;455;5700;17;1
100;1;01;010;20;268;4500;17;0
100;1;04;012;16;233;4000;15;0
100;1;02;012;376;4517;4600;16;0
100;1;03;012;342;4329;4300;16;0
100;1;10;012;266;3316;5700;18;1
100;1;01;012;24;333;4500;18;0
100;1;04;014;19;253;4000;15;0
100;1;02;014;390;5162;5000;17;0
100;1;03;014;46;579;4300;16;0
100;1;10;014;425;5794;5600;18;1
100;1;01;014;32;466;4500;18;0
100;1;04;016;16;233;4000;15;0
100;1;02;016;27;343;4700;16;0
100;1;03;016;22;278;4600;16;0
100;1;10;016;40;518;5600;18;1
100;1;01;016;38;536;4500;18;0
100;1;04;018;19;372;4000;15;0
100;1;02;018;145;1747;4600;17;0
100;1;03;018;282;3720;4300;16;0
100;1;10;018;84;1052;5800;18;1
100;1;01;018;21;305;4800;19;0
100;1;04;020;16;297;4000;15;0
100;1;02;020;367;4575;4900;16;0
100;1;03;020;95;1227;4300;16;0
100;1;10;020;348;4559;5700;17;1
100;1;01;020;46;609;4500;18;0
100;1;09;002;36;805;4100;16;0
100;1;07;002;28;398;4200;16;0
100;1;08;002;22;401;4200;18;0
100;1;06;002;18;238;4900;16;0
100;1;05;002;197;2432;4200;18;0
