sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;03;002;161;6561;3400;14;0
100;1;10;002;145;6728;3700;14;0
100;1;04;002;60;2790;3900;14;0
100;1;05;002;109;5502;3500;14;0
100;1;02;002;188;9469;3700;15;0
100;1;01;002;213;11467;3200;13;0
100;1;06;002;124;6032;3400;12;0
100;1;03;004;66;3525;3500;14;0
100;1;04;004;181;8411;3400;14;0
100;1;02;004;278;13764;3600;15;0
100;1;10;004;155;9430;3800;16;0
100;1;01;004;144;8241;3300;15;0
100;1;06;004;70;4263;3700;16;0
100;1;05;004;94;5939;3800;15;0
100;1;03;006;67;3248;3400;15;0
100;1;10;006;103;5393;3900;15;0
100;1;04;006;195;12102;3400;14;0
100;1;02;006;57;3322;3200;13;0
100;1;01;006;80;4435;3400;15;0
100;1;06;006;178;10035;3500;13;0
100;1;05;006;61;3466;3700;16;0
100;1;03;008;49;2956;3400;14;0
100;1;02;008;111;6036;3500;13;0
100;1;10;008;227;14088;3500;15;0
100;1;01;008;231;13438;3300;13;0
100;1;04;008;132;7938;2900;13;0
100;1;06;008;95;5273;3800;15;0
100;1;05;008;158;8735;3600;15;0
100;1;03;010;147;8537;3600;14;0
100;1;10;010;121;6438;3600;13;0
100;1;02;010;122;6629;3500;12;0
100;1;06;010;210;10706;3900;15;0
100;1;01;010;66;3502;3300;14;0
100;1;04;010;260;15917;3400;14;0
100;1;05;010;94;5313;3800;14;0
100;1;10;012;122;7238;3700;15;0
100;1;03;012;54;2963;3500;15;0
100;1;02;012;337;19249;3500;14;0
100;1;06;012;200;10561;3700;15;0
100;1;01;012;206;10309;3300;15;0
100;1;05;012;283;14668;3700;15;0
100;1;04;012;74;4076;3400;14;0
100;1;02;014;198;10327;3400;14;0
100;1;06;014;49;2650;4100;15;0
100;1;03;014;185;11199;3200;15;0
100;1;01;014;52;3080;3400;15;0
100;1;04;014;168;9450;3300;14;0
100;1;10;014;58;3685;4300;16;0
100;1;05;014;478;29978;3800;17;0
100;1;06;016;148;7919;3700;16;0
100;1;02;016;104;5836;3800;14;0
100;1;03;016;67;3701;3800;15;0
100;1;10;016;146;7305;3700;16;0
100;1;01;016;63;3559;3400;14;0
100;1;04;016;362;21190;3000;13;0
100;1;05;016;246;15820;3600;15;0
100;1;03;018;154;7665;3600;16;0
100;1;06;018;299;17237;3900;16;0
100;1;02;018;85;4526;4000;14;0
100;1;10;018;67;3549;3900;15;0
100;1;01;018;129;7959;3200;14;0
100;1;05;018;498;24747;4000;16;0
100;1;04;018;165;10934;3400;15;0
100;1;06;020;104;5958;3800;16;0
100;1;02;020;433;24546;4000;15;0
100;1;03;020;351;22585;3600;15;0
100;1;10;020;50;2751;3900;15;0
100;1;05;020;189;11241;3400;15;0
