sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;2640.256;36.396;2984.4;11.094;0.0
40.0;3.0;468.35;6.146;1060.0;4.714;0.0
40.0;5.0;319.794;4.21;670.0;3.022;0.0
40.0;7.0;63.806;1.16;470.0;2.132;0.0
40.0;9.0;46.198;1.004;400.0;2.0;0.0
60.0;1.0;12428.274;105.646;2936.4;11.756;0.0
60.0;3.0;9988.838;74.946;1141.6;5.202;0.0
60.0;5.0;973.772;7.702;741.2;3.502;0.0
60.0;7.0;351.09;3.044;520.0;2.376;0.0
60.0;9.0;63.964;1.076;400.0;2.0;0.0
80.0;1.0;26007.45;163.724;3275.0;13.256;0.0
80.0;3.0;16247.168;90.898;1274.8;5.896;0.0
80.0;5.0;2714.716;14.65;782.2;3.822;0.0
80.0;7.0;234.65;2.072;600.0;2.986;0.0
80.0;9.0;75.51807228915662;1.1566265060240963;400.0;2.0;0.0
100.0;1.0;43405.914;195.014;3382.8;13.958;0.0
100.0;3.0;22089.208;87.392;1337.0;6.17;0.0
100.0;5.0;8551.19;30.878;803.0;4.0;0.0
100.0;7.0;431.136;2.822;590.0;2.9;0.0
100.0;9.0;183.85;1.806;400.0;2.0;0.0
