Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;02;002;100;9573;1700;17;0
100;1;01;002;66;6938;1600;16;0
100;1;06;002;115;11802;1900;19;0
100;1;04;002;62;6651;1900;19;0
100;1;10;002;147;16558;1700;17;0
100;1;05;002;65;7409;1700;17;0
100;1;03;002;111;12065;1900;19;0
100;1;02;004;105;10175;1600;16;0
100;1;06;004;104;10662;1600;16;0
100;1;01;004;161;16538;1700;17;0
100;1;04;004;68;7728;1700;17;0
100;1;05;004;76;7822;1800;18;0
100;1;10;004;130;14580;1800;18;0
100;1;03;004;137;15179;1700;17;0
100;1;02;006;181;13904;1300;13;0
100;1;06;006;115;10817;1600;16;0
100;1;01;006;171;16935;1600;16;0
100;1;10;006;158;15129;1500;15;0
100;1;04;006;164;16378;1600;16;0
100;1;03;006;64;6523;1600;16;0
100;1;05;006;96;10366;2000;20;0
100;1;02;008;129;11418;1500;15;0
100;1;06;008;153;14525;1500;15;0
100;1;05;008;138;12905;1600;16;0
100;1;01;008;157;16684;1700;17;0
100;1;03;008;122;12389;1600;16;0
100;1;04;008;88;9040;1900;19;0
100;1;10;008;129;13666;2000;20;0
100;1;02;010;83;8653;1900;19;0
100;1;06;010;94;9231;1700;17;0
100;1;05;010;85;8250;1800;18;0
100;1;01;010;143;13451;1500;15;0
100;1;03;010;87;8564;1700;17;0
100;1;04;010;146;16112;1800;18;0
100;1;10;010;159;16491;1700;17;0
100;1;02;012;146;14910;1700;17;0
100;1;06;012;67;7389;1800;18;0
100;1;05;012;92;10181;1700;17;0
100;1;03;012;69;6957;1500;15;0
100;1;01;012;73;7904;1700;17;0
100;1;04;012;54;5313;1900;19;0
100;1;10;012;132;14028;1700;17;0
100;1;02;014;81;7380;1600;16;0
100;1;06;014;112;11578;1800;18;0
100;1;03;014;104;10246;1800;18;0
100;1;05;014;115;12617;1800;18;0
100;1;04;014;197;20110;1400;14;0
100;1;01;014;105;11550;1700;17;0
100;1;10;014;138;14308;1700;17;0
100;1;02;016;101;10859;1700;17;0
100;1;06;016;100;11606;1800;18;0
100;1;03;016;104;10999;1900;19;0
100;1;05;016;180;19563;1800;18;0
100;1;04;016;105;11591;1600;16;0
100;1;01;016;164;16212;1600;16;0
100;1;02;018;122;12178;1500;15;0
100;1;10;016;90;9835;1600;16;0
100;1;06;018;122;13289;1700;17;0
100;1;03;018;84;8516;1700;17;0
100;1;02;020;129;11006;1400;14;0
100;1;05;018;172;17529;1700;17;0
100;1;01;018;144;14982;1500;15;0
100;1;04;018;125;13021;1600;16;0
100;1;10;018;169;15307;1700;17;0
100;1;03;020;138;13492;1600;16;0
100;1;06;020;81;8973;1700;17;0
100;1;09;002;136;14950;1600;16;0
100;1;10;020;87;8646;1800;18;0
100;1;01;020;89;9506;1600;16;0
100;1;04;020;108;11138;1800;18;0
100;1;05;020;102;11027;1800;18;0
100;2;01;002;98;7849;1200;12;0
100;2;02;002;176;12519;1000;10;0
100;2;04;002;139;13037;1000;10;0
100;2;03;002;111;9595;1100;11;0
100;1;09;004;95;9384;1900;19;0
100;1;08;002;128;12996;1900;19;0
100;1;07;002;201;20456;1700;17;0
100;2;01;004;81;6623;1000;10;0
100;2;02;004;155;11726;1100;11;0
100;2;04;004;141;11365;1100;11;0
100;2;03;004;109;8416;1000;10;0
100;1;09;006;140;12874;1700;17;0
100;2;01;006;136;10187;1100;11;0
100;1;08;004;130;12674;1600;16;0
100;1;07;004;121;12654;1900;19;0
100;2;03;006;97;6847;1000;10;0
100;2;04;006;75;6805;1300;13;0
100;2;02;006;135;11432;1000;10;0
100;2;01;008;110;9655;1100;11;0
100;1;09;008;175;17095;1700;17;0
100;2;03;008;114;9142;1100;11;0
100;2;02;008;77;6722;1100;11;0
100;1;08;006;152;14797;1600;16;0
100;2;04;008;108;9616;1100;11;0
100;1;07;006;173;18466;1800;18;0
100;2;01;010;169;11683;1000;10;0
100;2;03;010;158;12777;900;9;0
100;2;02;010;145;11624;1000;10;0
100;1;09;010;98;9633;1700;17;0
100;2;04;010;116;10599;1100;11;0
100;1;08;008;147;13847;1600;16;0
100;2;03;012;241;16666;1000;10;0
100;1;07;008;149;17026;1800;18;0
100;2;02;012;82;6748;1100;11;0
100;2;01;012;72;7017;1300;13;0
100;2;04;012;137;10901;1100;11;0
100;1;09;012;177;17540;1500;15;0
100;1;08;010;56;5953;1800;18;0
100;2;01;014;113;9079;1000;10;0
100;2;02;014;167;13632;1100;11;0
100;2;03;014;194;18971;1100;11;0
100;1;07;010;161;16794;1700;17;0
100;2;04;014;113;9683;1200;12;0
100;2;01;016;198;14539;1200;12;0
100;2;02;016;106;9606;1100;11;0
100;2;03;016;155;11187;1000;10;0
100;1;08;012;134;14107;1700;17;0
100;1;09;014;57;6268;2100;21;0
100;2;04;016;166;14751;1200;12;0
100;1;07;012;100;10645;1800;18;0
100;2;02;018;144;10824;1000;10;0
100;2;01;018;205;15284;1200;12;0
100;2;03;018;116;8751;1100;11;0
100;2;04;018;169;14289;1100;11;0
100;1;08;014;72;7685;1700;17;0
100;1;09;016;99;10191;1800;18;0
100;2;02;020;90;6772;1100;11;0
100;2;01;020;136;11467;1100;11;0
100;1;07;014;127;13156;1600;16;0
100;2;03;020;217;17339;1200;12;0
100;2;04;020;133;10645;1200;12;0
100;3;03;002;88;7367;900;9;0
100;3;04;002;93;7398;900;9;0
100;3;02;002;125;10510;1000;10;0
100;1;09;018;112;12346;1600;16;0
100;1;08;016;139;16662;1900;19;0
100;3;05;002;128;9611;800;8;0
100;3;03;004;135;9829;800;8;0
100;1;07;016;83;9295;1900;19;0
100;3;02;004;121;9803;800;8;0
100;3;03;006;127;7889;700;7;0
100;3;04;004;117;9710;800;8;0
100;3;05;004;79;6114;800;8;0
100;1;09;020;157;15038;1800;18;0
100;1;08;018;96;9601;1700;17;0
100;3;03;008;143;8618;800;8;0
100;3;05;006;106;7148;800;8;0
100;3;02;006;185;12731;800;8;0
100;1;07;018;121;11961;1900;19;0
100;3;04;006;126;11074;900;9;0
100;3;10;002;125;8897;800;8;0
100;3;03;010;85;7262;800;8;0
100;3;02;008;147;11034;700;7;0
100;3;05;008;194;14213;900;9;0
100;1;08;020;130;13126;1800;18;0
100;3;04;008;123;9923;1000;10;0
100;1;07;020;119;11146;1600;16;0
100;3;10;004;113;9143;800;8;0
100;3;02;010;161;11936;800;8;0
100;3;05;010;87;6298;800;8;0
100;3;03;012;126;12307;900;9;0
100;3;01;002;110;8682;800;8;0
100;2;05;002;158;10213;1200;12;0
100;3;04;010;87;7961;900;9;0
100;3;10;006;100;9117;800;8;0
100;3;05;012;120;8072;800;8;0
100;3;02;012;193;14657;800;8;0
100;3;01;004;116;8556;900;9;0
100;3;03;014;94;8348;900;9;0
100;2;05;004;116;8943;1200;12;0
100;3;05;014;98;7593;900;9;0
100;3;04;012;161;13673;800;8;0
100;3;10;008;191;12304;900;9;0
100;3;02;014;132;10926;900;9;0
100;3;01;006;194;13039;700;7;0
100;3;03;016;192;13094;800;8;0
100;3;10;010;170;8813;700;7;0
100;2;05;006;96;7144;1100;11;0
100;3;05;016;99;8273;900;9;0
100;3;04;014;128;9324;800;8;0
100;3;01;008;136;10319;800;8;0
100;3;02;016;150;11620;700;7;0
100;3;03;018;267;16897;800;8;0
100;3;10;012;230;14918;800;8;0
100;3;04;016;99;7540;900;9;0
100;2;05;008;197;13831;1100;11;0
100;3;05;018;117;9221;900;9;0
100;3;02;018;149;11689;800;8;0
100;3;03;020;78;6504;900;9;0
100;3;01;010;108;8897;900;9;0
100;2;05;010;99;7210;1100;11;0
100;3;10;014;222;17045;800;8;0
100;3;04;018;137;11157;800;8;0
100;3;05;020;198;15597;700;7;0
100;3;02;020;130;10427;800;8;0
100;3;01;012;93;8206;800;8;0
100;4;01;002;175;15678;600;6;0
100;3;10;016;145;11406;700;7;0
100;3;04;020;170;10597;600;6;0
100;2;05;012;97;7857;1100;11;0
100;3;09;002;151;9814;700;7;0
100;4;03;002;175;11419;700;7;0
100;4;01;004;147;9596;600;6;0
100;3;01;014;83;7293;1000;10;0
100;2;05;014;91;7277;1100;11;0
100;3;10;018;257;18769;800;8;0
100;4;02;002;122;9589;700;7;0
100;4;01;006;146;9221;600;6;0
