Size,Problem,Time(ms),Generations,Fitness,Regenerators,Disconnected
40,1,580.4491315,29.52109181,1174.441687,11.74441687,0
40,2,343.4738956,21.59839357,775.502008,7.75502008,0
40,3,288.08,20.244,583,5.83,0
40,4,301.704,21.62,483.2,4.832,0
40,5,304.39,21.73,410.8,4.108,0
40,6,328.344,24.504,353.2,3.532,0
40,7,313.874,24.03,303.6,3.036,0
40,8,302.888,24.336,260.8,2.608,0
40,9,313.228,26.63,207.4,2.074,0
60,1,2661.70913,63.65392781,1361.146497,13.61146497,0
60,2,1613.836,46.648,899.6,8.996,0
60,3,1433.974,44.478,685.4,6.854,0
60,4,1563.244,49.164,568,5.68,0
60,5,1596.724,53.132,468.6,4.686,0
60,6,1616.228,55.932,402.4,4.024,0
60,7,1637.006,60.434,334.8,3.348,0
60,8,1565.728,60.508,285.6,2.856,0
60,9,1594.062,66.486,222,2.22,0
80,1,6319.905063,89.28270042,1584.388186,15.84388186,0
80,2,4680.724,83.568,1012.4,10.124,0
80,3,4450.142,82.398,768.4,7.684,0
80,4,4654,91.544,623.2,6.232,0
80,5,4614.758,97.944,511,5.11,0
80,6,3943.044,102.592,425.2,4.252,0
80,7,4221.706,107.252,356.2,3.562,0
80,8,3497.624,108.364,296.8,2.968,0
80,9,3848.452,116.598,226.8,2.268,0
100,1,13444.776,126.532,1711.8,17.118,0
100,2,10410.736,122.028,1100.4,11.004,0
100,3,11517.66,137.028,835.6,8.356,0
100,4,11005.056,137.88,654.4,6.544,0
100,5,12182.498,154.208,543,5.43,0
100,6,11418.756,165.748,450.8,4.508,0
100,7,11404.188,169.218,377.2,3.772,0
100,8,10541.436,177.704,304.8,3.048,0
100,9,10327.846,185.634,238.4,2.384,0
