Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;6;112;1300;13;0
040;1;01;004;3;24;1300;13;0
040;1;01;006;4;32;1300;13;0
040;1;01;008;5;42;1300;13;0
040;1;01;010;5;36;1300;13;0
040;1;01;012;5;40;1300;13;0
040;1;01;014;6;44;1300;13;0
040;1;01;016;5;39;1300;13;0
040;1;01;018;6;45;1300;13;0
040;1;01;020;6;48;1300;13;0
040;1;01;022;7;47;1300;13;0
040;1;01;024;5;34;1300;13;0
040;1;01;026;5;34;1300;13;0
040;1;01;028;5;34;1300;13;0
040;1;01;030;6;39;1300;13;0
040;1;01;032;6;39;1300;13;0
040;1;01;034;5;34;1300;13;0
040;1;01;036;5;34;1300;13;0
040;1;01;038;6;40;1300;13;0
040;1;01;040;6;38;1300;13;0
040;1;01;042;5;33;1300;13;0
040;1;01;044;6;40;1300;13;0
040;1;01;046;5;34;1300;13;0
040;1;01;048;6;39;1300;13;0
040;1;01;050;5;34;1300;13;0
040;1;01;052;4;29;1300;13;0
040;1;01;054;6;39;1300;13;0
040;1;01;056;5;33;1300;13;0
040;1;01;058;6;40;1300;13;0
040;1;01;060;6;40;1300;13;0
040;1;01;062;6;38;1300;13;0
040;1;01;064;6;39;1300;13;0
040;1;01;066;5;35;1300;13;0
040;1;01;068;5;31;1300;13;0
040;1;01;070;5;34;1300;13;0
040;1;01;072;6;37;1300;13;0
040;1;01;074;6;37;1300;13;0
040;1;01;076;6;39;1300;13;0
040;1;01;078;6;40;1300;13;0
040;1;01;080;6;39;1300;13;0
040;1;01;082;6;39;1300;13;0
040;1;01;084;5;34;1300;13;0
040;1;01;086;4;27;1300;13;0
040;1;01;088;6;37;1300;13;0
040;1;01;090;7;43;1300;13;0
040;1;01;092;5;31;1300;13;0
040;1;01;094;6;38;1300;13;0
040;1;01;096;5;33;1300;13;0
040;1;01;098;5;32;1300;13;0
040;1;01;100;5;33;1300;13;0
040;1;02;002;374;2939;1100;11;0
040;1;02;004;9;86;1100;11;0
040;1;02;006;19;137;1100;11;0
040;1;02;008;7;46;1100;11;0
040;1;02;010;5;39;1200;12;0
040;1;02;012;472;3063;1100;11;0
040;1;02;014;10;71;1100;11;0
040;1;02;016;7;49;1200;12;0
040;1;02;018;6;45;1200;12;0
040;1;02;020;5;37;1200;12;0
040;1;02;022;6;39;1100;11;0
040;1;02;024;27;155;1100;11;0
040;1;02;026;8;50;1100;11;0
040;1;02;028;6;39;1100;11;0
040;1;02;030;5;35;1200;12;0
040;1;02;032;5;34;1200;12;0
040;1;02;034;48;273;1100;11;0
040;1;02;036;11;67;1100;11;0
040;1;02;038;9;55;1100;11;0
040;1;02;040;5;34;1200;12;0
040;1;02;042;6;38;1200;12;0
040;1;02;044;6;44;1200;12;0
040;1;02;046;9;55;1100;11;0
040;1;02;048;6;39;1200;12;0
040;1;02;050;15;89;1100;11;0
040;1;02;052;6;39;1200;12;0
040;1;02;054;9;54;1100;11;0
040;1;02;056;5;32;1200;12;0
040;1;02;058;13;76;1100;11;0
040;1;02;060;9;55;1100;11;0
040;1;02;062;5;33;1200;12;0
040;1;02;064;207;1161;1100;11;0
040;1;02;066;5;33;1200;12;0
040;1;02;068;38;219;1100;11;0
040;1;02;070;6;38;1200;12;0
040;1;02;072;6;38;1200;12;0
040;1;02;074;244;1324;1100;11;0
040;1;02;076;11;65;1100;11;0
040;1;02;078;4;27;1200;12;0
040;1;02;080;4;27;1200;12;0
040;1;02;082;151;827;1100;11;0
040;1;02;084;5;32;1200;12;0
040;1;02;086;5;31;1200;12;0
040;1;02;088;5;31;1200;12;0
040;1;02;090;6;36;1200;12;0
040;1;02;092;5;31;1200;12;0
040;1;02;094;12;69;1100;11;0
040;1;02;096;6;36;1200;12;0
040;1;02;098;4;27;1200;12;0
040;1;02;100;6;36;1200;12;0
040;1;03;002;3;71;1000;10;0
040;1;03;004;8;63;1000;10;0
040;1;03;006;311;2065;1000;10;0
040;1;03;008;13;92;900;9;0
040;1;03;010;10;64;900;9;0
040;1;03;012;7;74;1000;10;0
040;1;03;014;66;543;900;9;0
040;1;03;016;7;62;1000;10;0
040;1;03;018;13;89;1000;10;0
040;1;03;020;11;68;1000;10;0
040;1;03;022;10;63;1000;10;0
040;1;03;024;29;170;900;9;0
040;1;03;026;8;46;1000;10;0
040;1;03;028;8;49;900;9;0
040;1;03;030;199;1140;900;9;0
040;1;03;032;8;52;1000;10;0
040;1;03;034;66;397;900;9;0
040;1;03;036;138;803;900;9;0
040;1;03;038;8;48;1000;10;0
040;1;03;040;7;43;1000;10;0
040;1;03;042;9;52;900;9;0
040;1;03;044;47;269;900;9;0
040;1;03;046;7;43;900;9;0
040;1;03;048;8;49;1000;10;0
040;1;03;050;9;55;1000;10;0
040;1;03;052;9;53;1000;10;0
040;1;03;054;7;44;1000;10;0
040;1;03;056;42;238;900;9;0
040;1;03;058;8;49;900;9;0
040;1;03;060;9;54;900;9;0
040;1;03;062;10;60;1000;10;0
040;1;03;064;6;37;1000;10;0
040;1;03;066;103;580;900;9;0
040;1;03;068;12;73;900;9;0
040;1;03;070;7;44;1000;10;0
040;1;03;072;8;49;1000;10;0
040;1;03;074;242;1448;900;9;0
040;1;03;076;54;310;900;9;0
040;1;03;078;306;1755;900;9;0
040;1;03;080;21;129;900;9;0
040;1;03;082;3;22;1000;10;0
040;1;03;084;8;47;1000;10;0
040;1;03;086;10;60;900;9;0
040;1;03;088;133;715;900;9;0
040;1;03;090;9;52;1000;10;0
