sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;106.808;18.762;1111.6;11.116;0.0
40.0;2.0;154.428;25.952;604.4;6.044;0.0
40.0;3.0;97.862;16.138;455.2;4.552;0.0
40.0;4.0;70.5;10.932;380.4;3.804;0.0
40.0;5.0;66.734;10.498;300.0;3.0;0.0
40.0;6.0;33.232;5.144;300.0;3.0;0.0
40.0;7.0;49.416;8.012;200.0;2.0;0.0
40.0;8.0;31.896;5.384;200.0;2.0;0.0
40.0;9.0;28.602;4.584;200.0;2.0;0.0
60.0;1.0;433.11;59.266;1170.0;11.7;0.0
60.0;2.0;367.648;45.504;711.2;7.112;0.0
60.0;3.0;358.008;40.756;503.2;5.032;0.0
60.0;4.0;241.772;26.312;400.0;4.0;0.0
60.0;5.0;472.138;48.962;321.6;3.216;0.0
60.0;6.0;84.676;9.652;300.0;3.0;0.0
60.0;7.0;240.79;27.16;210.2;2.102;0.0
60.0;8.0;66.664;8.468;200.0;2.0;0.0
60.0;9.0;55.528;7.138;200.0;2.0;0.0
80.0;1.0;650.168;60.118;1292.0;12.92;0.0
80.0;2.0;836.884;76.404;749.2;7.492;0.0
80.0;3.0;835.826;70.18;538.0;5.38;0.0
80.0;4.0;1130.264;86.736;436.4;4.364;0.0
80.0;5.0;542.386;41.604;378.8;3.788;0.0
80.0;6.0;186.936;15.86;300.0;3.0;0.0
80.0;7.0;230.662;18.91;281.2;2.812;0.0
80.0;8.0;115.884;11.204;200.0;2.0;0.0
80.0;9.0;87.038;9.378;200.0;2.0;0.0
100.0;1.0;865.874;68.096;1338.6;13.386;0.0
100.0;2.0;1277.92;93.388;803.2;8.032;0.0
100.0;3.0;2142.99;137.384;599.8;5.998;0.0
100.0;4.0;989.64;58.808;476.4;4.764;0.0
100.0;5.0;398.384;25.322;400.0;4.0;0.0
100.0;6.0;439.676;28.7;300.0;3.0;0.0
100.0;7.0;393.132;26.758;272.8;2.728;0.0
100.0;8.0;178.12;14.812;200.0;2.0;0.0
100.0;9.0;123.906;11.428;200.0;2.0;0.0
