Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;482;4092;1700;17;0
040;1;01;004;270;2208;1700;17;0
040;1;01;006;99;881;1600;16;0
040;1;01;008;217;1795;1600;16;0
040;1;01;010;86;717;1600;16;0
040;1;01;012;83;754;1700;17;0
040;1;01;014;240;2099;1700;17;0
040;1;01;016;494;4156;1500;15;0
040;1;01;018;241;2006;1700;17;0
040;1;01;020;406;3303;1500;15;0
040;1;01;022;304;2409;1600;16;0
040;1;01;024;117;945;1700;17;0
040;1;01;026;442;3468;1600;16;0
040;1;01;028;367;2904;1700;17;0
040;1;01;030;186;1486;1700;17;0
040;1;01;032;130;1048;1700;17;0
040;1;01;034;49;416;1700;17;0
040;1;01;036;272;2155;1600;16;0
040;1;01;038;82;664;1600;16;0
040;1;01;040;104;841;1700;17;0
040;1;01;042;281;2528;1600;16;0
040;1;01;044;61;574;1700;17;0
040;1;01;046;309;2838;1600;16;0
040;1;01;048;221;2025;1700;17;0
040;1;01;050;227;2061;1600;16;0
040;1;01;052;360;3269;1600;16;0
040;1;01;054;340;3137;1600;16;0
040;1;01;056;196;1817;1600;16;0
040;1;01;058;410;3721;1600;16;0
040;1;01;060;103;964;1700;17;0
040;1;01;062;416;3264;1600;16;0
040;1;01;064;303;2406;1600;16;0
040;1;01;066;148;1321;1600;16;0
040;1;01;068;79;737;1700;17;0
040;1;01;070;209;1844;1700;17;0
040;1;01;072;162;1288;1600;16;0
040;1;01;074;86;724;1600;16;0
040;1;01;076;270;2979;1500;15;0
040;1;01;078;66;674;1700;17;0
040;1;01;080;157;1482;1600;16;0
040;1;01;082;407;3432;1600;16;0
040;1;01;084;54;469;1700;17;0
040;1;01;086;70;600;1700;17;0
040;1;01;088;381;3201;1600;16;0
040;1;01;090;406;3409;1600;16;0
040;1;01;092;160;1361;1700;17;0
040;1;01;094;133;1135;1600;16;0
040;1;01;096;123;1056;1700;17;0
040;1;01;098;291;2433;1500;15;0
040;1;01;100;308;2605;1700;17;0
040;1;02;002;34;293;1400;14;0
040;1;02;004;27;253;1500;15;0
040;1;02;006;45;370;1500;15;0
040;1;02;008;29;249;1500;15;0
040;1;02;010;52;463;1500;15;0
040;1;02;012;13;136;1500;15;0
040;1;02;014;15;131;1500;15;0
040;1;02;016;230;1921;1500;15;0
040;1;02;018;34;290;1500;15;0
040;1;02;020;138;1133;1600;16;0
040;1;02;022;273;2255;1400;14;0
040;1;02;024;93;747;1500;15;0
040;1;02;026;18;152;1300;13;0
040;1;02;028;293;2275;1400;14;0
