sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;240.146;22.276;1105.8;11.058;0.0
40.0;2.0;259.036;23.312;638.8;6.388;0.0
40.0;3.0;339.088;29.766;473.8;4.738;0.0
40.0;4.0;189.632;17.172;393.6;3.936;0.0
40.0;5.0;411.502;36.744;306.2;3.062;0.0
40.0;6.0;88.432;8.324;300.0;3.0;0.0
40.0;7.0;550.324;51.722;201.4;2.014;0.0
40.0;8.0;95.728;10.128;200.0;2.0;0.0
40.0;9.0;74.926;8.238;200.0;2.0;0.0
60.0;1.0;836.478;61.056;1194.2;11.942;0.0
60.0;2.0;906.56;62.712;751.2;7.512;0.0
60.0;3.0;848.412;55.336;551.4;5.514;0.0
60.0;4.0;1201.948;75.144;435.6;4.356;0.0
60.0;5.0;718.66;45.142;377.2;3.772;0.0
60.0;6.0;412.124;28.56;300.0;3.0;0.0
60.0;7.0;963.758;67.4;257.4;2.574;0.0
60.0;8.0;271.768;23.368;200.0;2.0;0.0
60.0;9.0;166.498;16.092;200.0;2.0;0.0
80.0;1.0;1718.846;93.532;1370.2;13.702;0.0
80.0;2.0;1769.452;75.208;838.4;8.384;0.0
80.0;3.0;1802.14;80.454;620.0;6.2;0.0
80.0;4.0;1110.968;53.028;495.2;4.952;0.0
80.0;5.0;1174.76;55.122;398.0;3.98;0.0
80.0;6.0;1910.516;97.052;311.2;3.112;0.0
80.0;7.0;470.1;30.616;297.6;2.976;0.0
80.0;8.0;823.284;55.3;201.6;2.016;0.0
80.0;9.0;330.40562248995985;27.815261044176708;200.0;2.0;0.0
100.0;1.0;2631.874;112.894;1472.0;14.72;0.0
100.0;2.0;2353.244;98.912;916.0;9.16;0.0
100.0;3.0;2213.058;87.024;684.0;6.84;0.0
100.0;4.0;3102.552;111.308;525.6;5.256;0.0
100.0;5.0;2698.68;99.108;423.6;4.236;0.0
100.0;6.0;2335.768;96.252;360.4;3.604;0.0
100.0;7.0;1072.41;55.81;298.0;2.98;0.0
100.0;8.0;2260.832;121.32;224.8;2.248;0.0
100.0;9.0;681.67;49.454;200.0;2.0;0.0
