Size,Problem,Time(ms),Generations,Fitness,Regenerators,Disconnected
40,1,480.8209459,24.375,3227.027027,11.55067568,0
40,3,337.51,21.924,1434.6,5.75,0
40,5,371.96,25.332,973.6,4.022,0
40,7,365.526,26.214,692,3.02,0
40,9,364.842,28.042,473.6,2.094,0
60,1,2355.012376,51.19306931,3734.653465,13.46534653,0
60,3,1682.878,47.556,1706.8,6.706,0
60,5,1893.388,55.924,1110,4.656,0
60,7,1832.65,61.004,779.4,3.232,0
60,9,1712.018,65.29,510,2.158,0
80,1,5678.127098,76.17026379,4270.263789,15.43645084,0
80,3,4573.526,84.062,1940.8,7.708,0
80,5,7334.44,98.072,1223.2,5.096,0
80,7,4303.904,107.038,857.2,3.542,0
80,9,3584.802,116.324,526.8,2.272,0
100,1,13240.30544,113.2761506,4570.292887,16.81380753,0
100,3,12151.764,134.698,2107.2,8.342,0
100,5,12483.76,155.132,1344.6,5.348,0
100,7,11338.438,164.34,907.6,3.754,0
100,9,10784.506,177.764,553,2.36,0
