sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;227.306;44.738;3061.0;11.33;0.0
40.0;3.0;68.554;11.292;1061.4;4.78;0.0
40.0;5.0;87.498;14.748;683.2;3.2;0.0
40.0;7.0;61.084;10.76;470.4;2.202;0.0
40.0;9.0;32.302;5.346;400.0;2.0;0.0
60.0;1.0;677.774;95.84;3046.8;12.082;0.0
60.0;3.0;329.412;37.222;1179.8;5.434;0.0
60.0;5.0;143.094;16.704;763.6;3.762;0.0
60.0;7.0;245.172;27.978;524.2;2.436;0.0
60.0;9.0;58.572;8.134;400.0;2.0;0.0
80.0;1.0;860.15;84.578;3350.2;13.634;0.0
80.0;3.0;537.642;44.95;1291.4;6.136;0.0
80.0;5.0;233.634;19.476;797.2;3.97;0.0
80.0;7.0;109.366;11.162;600.0;3.0;0.0
80.0;9.0;91.11;10.326;400.0;2.0;0.0
100.0;1.0;1019.816;78.124;3414.4;14.196;0.0
100.0;3.0;815.508;55.56;1353.8;6.638;0.0
100.0;5.0;540.052;34.836;801.6;4.0;0.0
100.0;7.0;248.736;19.244;593.2;2.932;0.0
100.0;9.0;127.69;12.41;400.0;2.0;0.0
