Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;25;278;3400;13;0
040;1;01;004;11;128;3400;13;0
040;1;01;006;9;107;3400;13;0
040;1;01;008;11;137;3400;14;0
040;1;01;010;22;263;3400;13;0
040;1;01;012;11;131;3400;14;0
040;1;01;014;10;123;3400;13;0
040;1;01;016;16;183;3400;13;0
040;1;01;018;29;325;3400;13;0
040;1;01;020;11;135;3400;13;0
040;1;01;022;10;120;3400;14;0
040;1;01;024;7;86;3400;14;0
040;1;01;026;7;85;3400;14;0
040;1;01;028;10;117;3400;14;0
040;1;01;030;9;107;3400;13;0
040;1;01;032;13;153;3400;13;0
040;1;01;034;14;165;3400;13;0
040;1;01;036;18;217;3400;13;0
040;1;01;038;17;194;3400;14;0
040;1;01;040;24;270;3400;13;0
040;1;01;042;15;179;3400;13;0
040;1;01;044;29;339;3400;13;0
040;1;01;046;14;168;3400;14;0
040;1;01;048;11;133;3400;13;0
040;1;01;050;11;135;3400;14;0
040;1;01;052;16;187;3400;13;0
040;1;01;054;8;94;3600;13;0
040;1;01;056;20;234;3400;13;0
040;1;01;058;13;150;3400;14;0
040;1;01;060;7;85;3400;13;0
040;1;01;062;25;460;3400;13;0
040;1;01;064;23;267;3400;13;0
040;1;01;066;22;256;3400;13;0
040;1;01;068;28;325;3400;13;0
040;1;01;070;30;354;3400;13;0
040;1;01;072;28;322;3400;14;0
040;1;01;074;13;154;3400;14;0
040;1;01;076;19;226;3400;13;0
040;1;01;078;17;197;3400;13;0
040;1;01;080;24;278;3400;13;0
040;1;01;082;23;270;3400;13;0
040;1;01;084;18;212;3500;14;0
040;1;01;086;11;132;3400;14;0
040;1;01;088;26;295;3400;13;0
040;1;01;090;11;129;3400;14;0
040;1;01;092;10;120;3400;14;0
040;1;01;094;10;126;3400;13;0
040;1;01;096;15;176;3400;13;0
040;1;01;098;8;100;3400;13;0
040;1;01;100;17;200;3400;13;0
040;1;02;002;14;171;3800;12;0
040;1;02;004;13;157;3700;13;0
040;1;02;006;22;256;3700;13;0
040;1;02;008;161;1791;3500;11;0
040;1;02;010;22;254;3500;11;0
040;1;02;012;35;417;3500;12;0
040;1;02;014;11;127;3600;11;0
040;1;02;016;27;306;3500;12;0
040;1;02;018;58;685;3500;12;0
040;1;02;020;21;247;3500;12;0
040;1;02;022;12;137;3600;12;0
040;1;02;024;23;273;3500;12;0
040;1;02;026;17;198;3600;12;0
040;1;02;028;12;143;3600;11;0
040;1;02;030;15;175;3500;11;0
040;1;02;032;22;256;3600;12;0
040;1;02;034;9;108;3600;11;0
040;1;02;036;14;166;3600;11;0
040;1;02;038;12;144;3600;11;0
040;1;02;040;13;155;3500;11;0
040;1;02;042;7;86;3500;12;0
040;1;02;044;11;132;3600;11;0
040;1;02;046;139;1534;3500;12;0
040;1;02;048;8;98;3600;11;0
040;1;02;050;10;117;3800;12;0
040;1;02;052;12;146;3500;12;0
040;1;02;054;9;106;3600;12;0
040;1;02;056;12;141;3600;11;0
040;1;02;058;21;246;3500;11;0
040;1;02;060;5;63;3600;11;0
040;1;02;062;13;175;3600;11;0
040;1;02;064;17;200;3600;11;0
040;1;02;066;27;298;3500;12;0
040;1;02;068;11;133;3600;11;0
040;1;02;070;28;324;3500;11;0
040;1;02;072;20;233;3500;12;0
040;1;02;074;177;2024;3600;11;0
040;1;02;076;16;186;3500;12;0
040;1;02;078;12;140;3500;11;0
040;1;02;080;10;115;3500;11;0
040;1;02;082;10;118;3500;11;0
040;1;02;084;11;135;3600;11;0
040;1;02;086;11;129;3700;12;0
040;1;02;088;58;626;3600;12;0
040;1;02;090;17;200;3500;11;0
040;1;02;092;47;526;3600;11;0
040;1;02;094;43;493;3600;11;0
040;1;02;096;294;3432;3500;12;0
040;1;02;098;20;235;3500;11;0
040;1;02;100;10;121;3600;11;0
040;1;03;002;9;106;2400;10;0
040;1;03;004;268;3085;2300;9;0
040;1;03;006;19;216;2600;11;0
040;1;03;008;8;96;2300;9;0
040;1;03;010;24;279;2300;9;0
040;1;03;012;15;177;2400;10;0
040;1;03;014;23;266;2400;10;0
040;1;03;016;15;178;2400;10;0
040;1;03;018;12;134;2700;11;0
040;1;03;020;486;5991;2400;10;0
040;1;03;022;12;142;2300;9;0
040;1;03;024;8;101;2400;10;0
040;1;03;026;3;39;2700;10;0
040;1;03;028;8;101;2300;9;0
040;1;03;030;55;650;2500;10;0
040;1;03;032;75;899;2300;9;0
040;1;03;034;186;2118;2400;10;0
040;1;03;036;8;94;2500;10;0
040;1;03;038;13;156;2400;10;0
040;1;03;040;27;326;2300;9;0
040;1;03;042;12;137;2300;9;0
040;1;03;044;60;695;2300;9;0
040;1;03;046;25;282;2400;10;0
040;1;03;048;7;88;2400;10;0
040;1;03;050;9;108;2400;10;0
040;1;03;052;46;563;2300;9;0
040;1;03;054;94;1063;2300;9;0
040;1;03;056;230;2625;2300;9;0
040;1;03;058;14;163;2300;9;0
040;1;03;060;8;97;2300;9;0
040;1;03;062;16;347;2400;10;0
040;1;03;064;19;216;2400;10;0
040;1;03;066;318;3686;2300;9;0
040;1;03;068;182;2119;2300;9;0
040;1;03;070;8;99;2400;10;0
040;1;03;072;10;118;2300;9;0
040;1;03;074;11;126;2400;10;0
040;1;03;076;11;128;2400;10;0
040;1;03;078;7;87;2400;10;0
040;1;03;080;8;101;2500;10;0
040;1;03;082;11;136;2400;10;0
040;1;03;084;17;199;2500;10;0
040;1;03;086;83;920;2400;10;0
040;1;03;088;105;1228;2300;9;0
040;1;03;090;44;525;2300;9;0
040;1;03;092;25;289;2400;10;0
040;1;03;094;8;98;2400;10;0
040;1;03;096;43;492;2300;9;0
040;1;03;098;108;1254;2300;9;0
040;1;03;100;9;108;2400;10;0
040;1;04;002;154;1730;2600;10;0
040;1;04;004;5;60;2700;11;0
040;1;04;006;12;137;2600;10;0
040;1;04;008;16;182;2600;10;0
040;1;04;010;7;85;2600;10;0
040;1;04;012;8;93;2700;11;0
040;1;04;014;8;93;2700;11;0
040;1;04;016;13;144;2600;10;0
040;1;04;018;6;74;2700;11;0
040;1;04;020;8;96;2600;10;0
040;1;04;022;10;117;2700;11;0
040;1;04;024;16;178;2600;10;0
040;1;04;026;12;142;2700;11;0
040;1;04;028;9;102;2700;11;0
040;1;04;030;7;87;2700;11;0
040;1;04;032;7;82;2700;11;0
040;1;04;034;11;129;2600;10;0
040;1;04;036;11;127;2700;11;0
040;1;04;038;18;202;2600;10;0
040;1;04;040;20;228;2700;11;0
040;1;04;042;9;103;2600;11;0
040;1;04;044;14;158;2600;10;0
040;1;04;046;21;232;2700;11;0
040;1;04;048;8;91;2700;11;0
040;1;04;050;25;278;2600;11;0
040;1;04;052;421;4710;2600;10;0
040;1;04;054;10;123;2600;10;0
040;1;04;056;6;72;2700;11;0
040;1;04;058;20;229;2600;10;0
040;1;04;060;45;479;2600;10;0
040;1;04;062;10;143;2700;11;0
040;1;04;064;53;565;2700;11;0
040;1;04;066;82;921;2600;10;0
040;1;04;068;5;64;2700;11;0
040;1;04;070;13;144;2700;11;0
040;1;04;072;9;107;2600;10;0
040;1;04;074;9;107;2700;11;0
040;1;04;076;6;72;2700;10;0
040;1;04;078;10;117;2600;10;0
040;1;04;080;7;84;2700;10;0
040;1;04;082;5;63;2700;10;0
040;1;04;084;6;70;2700;10;0
040;1;04;086;10;116;2700;11;0
040;1;04;088;6;69;2700;11;0
040;1;04;090;6;69;2700;11;0
040;1;04;092;20;226;2700;11;0
040;1;04;094;55;593;2700;11;0
040;1;04;096;363;4032;2600;10;0
040;1;04;098;122;1373;2600;10;0
040;1;04;100;13;149;2600;10;0
040;1;05;002;311;3627;3300;12;0
