sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;333.744;21.038;1086.6;10.866;0.0
40.0;2.0;281.076;17.92;609.6;6.096;0.0
40.0;3.0;185.372;10.788;462.2;4.622;0.0
40.0;4.0;144.216;7.668;388.4;3.884;0.0
40.0;5.0;161.458;7.36;305.8;3.058;0.0
40.0;6.0;30.084;1.0;300.0;3.0;0.0
40.0;7.0;167.38;7.734;223.0;2.23;0.0
40.0;8.0;29.3;1.0;200.0;2.0;0.0
40.0;9.0;29.818;1.0;200.0;2.0;0.0
60.0;1.0;3084.79;88.724;1148.4;11.484;0.0
60.0;2.0;1875.224;45.192;723.2;7.232;0.0
60.0;3.0;2544.218;47.266;517.0;5.17;0.0
60.0;4.0;1773.312;26.92;420.4;4.204;0.0
60.0;5.0;615.534;8.2;389.8;3.898;0.0
60.0;6.0;480.096;6.448;300.0;3.0;0.0
60.0;7.0;456.34;6.692;270.2;2.702;0.0
60.0;8.0;81.824;1.108;200.0;2.0;0.0
60.0;9.0;69.808;1.0;200.0;2.0;0.0
80.0;1.0;12194.002;179.536;1305.4;13.054;0.0
80.0;2.0;8363.872;86.244;794.8;7.948;0.0
80.0;3.0;5766.328;42.628;587.0;5.87;0.0
80.0;4.0;1081.952;6.6;488.4;4.884;0.0
80.0;5.0;761.77;3.918;398.8;3.988;0.0
80.0;6.0;2385.32;14.74;310.0;3.1;0.0
80.0;7.0;209.47;1.208;298.4;2.984;0.0
80.0;8.0;416.756;3.032;202.8;2.028;0.0
80.0;9.0;141.3273092369478;1.0;200.0;2.0;0.0
100.0;1.0;24488.22;185.148;1406.4;14.064;0.0
100.0;2.0;22391.712;104.764;880.4;8.804;0.0
100.0;3.0;15933.468;55.378;656.8;6.568;0.0
100.0;4.0;15057.924;43.936;506.0;5.06;0.0
100.0;5.0;4741.38;13.372;409.0;4.09;0.0
100.0;6.0;4150.104;11.54;347.6;3.476;0.0
100.0;7.0;373.662;1.03;299.4;2.994;0.0
100.0;8.0;1423.48;6.16;252.0;2.52;0.0
100.0;9.0;265.686;1.0;200.0;2.0;0.0
