sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;2623.128;27.122;1081.0;10.81;0.0
40.0;2.0;1466.244;15.036;602.8;6.028;0.0
40.0;3.0;381.772;3.944;450.2;4.502;0.0
40.0;4.0;167.908;1.848;380.0;3.8;0.0
40.0;5.0;83.19;1.052;300.0;3.0;0.0
40.0;6.0;74.468;1.0;300.0;3.0;0.0
40.0;7.0;68.824;1.008;200.0;2.0;0.0
40.0;8.0;64.652;1.0;200.0;2.0;0.0
40.0;9.0;63.036;1.0;200.0;2.0;0.0
60.0;1.0;10748.528;70.568;1139.6;11.396;0.0
60.0;2.0;3159.484;20.528;701.6;7.016;0.0
60.0;3.0;747.09;4.858;500.0;5.0;0.0
60.0;4.0;283.144;2.04;400.0;4.0;0.0
60.0;5.0;3650.714;20.79;314.4;3.144;0.0
60.0;6.0;90.18;1.004;300.0;3.0;0.0
60.0;7.0;378.57;2.772;210.0;2.1;0.0
60.0;8.0;74.18;1.0;200.0;2.0;0.0
60.0;9.0;73.254;1.0;200.0;2.0;0.0
80.0;1.0;26429.818;125.854;1282.8;12.828;0.0
80.0;2.0;17422.688;78.468;737.6;7.376;0.0
80.0;3.0;9921.9;41.246;525.4;5.254;0.0
80.0;4.0;8733.152;33.144;408.4;4.084;0.0
80.0;5.0;8692.816;32.054;352.2;3.522;0.0
80.0;6.0;118.148;1.092;300.0;3.0;0.0
80.0;7.0;230.792;1.572;280.0;2.8;0.0
80.0;8.0;83.828;1.004;200.0;2.0;0.0
80.0;9.0;75.30923694779116;1.0;200.0;2.0;0.0
100.0;1.0;39227.024;139.752;1353.0;13.53;0.0
100.0;2.0;19045.988;65.872;784.0;7.84;0.0
100.0;3.0;7832.966;24.726;590.6;5.906;0.0
100.0;4.0;11006.808;32.14;454.8;4.548;0.0
100.0;5.0;235.316;1.536;400.0;4.0;0.0
100.0;6.0;290.66;1.78;300.0;3.0;0.0
100.0;7.0;1053.738;4.066;270.2;2.702;0.0
100.0;8.0;196.108;1.544;200.0;2.0;0.0
100.0;9.0;80.628;1.016;200.0;2.0;0.0
