Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;1;22;1300;13;0
040;1;01;004;1;20;1300;13;0
040;1;01;006;1;20;1300;13;0
040;1;01;008;1;20;1300;13;0
040;1;01;010;1;20;1300;13;0
040;1;01;012;1;20;1300;13;0
040;1;01;014;1;20;1300;13;0
040;1;01;016;1;20;1300;13;0
040;1;01;018;1;20;1300;13;0
040;1;01;020;1;20;1300;13;0
040;1;01;022;1;199;1300;13;0
040;1;01;024;1;21;1300;13;0
040;1;01;026;1;20;1300;13;0
040;1;01;028;1;20;1300;13;0
040;1;01;030;1;20;1300;13;0
040;1;01;032;1;21;1300;13;0
040;1;01;034;1;22;1300;13;0
040;1;01;036;1;20;1300;13;0
040;1;01;038;1;19;1300;13;0
040;1;01;040;1;22;1300;13;0
040;1;01;042;1;21;1300;13;0
040;1;01;044;1;20;1300;13;0
040;1;01;046;1;20;1300;13;0
040;1;01;048;1;19;1300;13;0
040;1;01;050;1;20;1300;13;0
040;1;01;052;1;20;1300;13;0
040;1;01;054;1;20;1300;13;0
040;1;01;056;1;20;1300;13;0
040;1;01;058;1;20;1300;13;0
040;1;01;060;1;20;1300;13;0
040;1;01;062;1;22;1300;13;0
040;1;01;064;1;19;1300;13;0
040;1;01;066;1;20;1300;13;0
040;1;01;068;1;19;1300;13;0
040;1;01;070;1;20;1300;13;0
040;1;01;072;1;19;1300;13;0
040;1;01;074;1;19;1300;13;0
040;1;01;076;1;20;1300;13;0
040;1;01;078;1;19;1300;13;0
040;1;01;080;1;19;1300;13;0
040;1;01;082;1;17;1300;13;0
040;1;01;084;1;23;1300;13;0
040;1;01;086;1;28;1300;13;0
040;1;01;088;1;19;1300;13;0
040;1;01;090;1;23;1300;13;0
040;1;01;092;1;20;1300;13;0
040;1;01;094;1;20;1300;13;0
040;1;01;096;1;16;1300;13;0
040;1;01;098;1;19;1300;13;0
040;1;01;100;1;15;1300;13;0
040;1;02;002;1;41;1100;11;0
040;1;02;004;2;35;1100;11;0
040;1;02;006;35;575;1100;11;0
040;1;02;008;1;19;1100;11;0
040;1;02;010;47;733;1100;11;0
040;1;02;012;2;34;1100;11;0
040;1;02;014;6;93;1100;11;0
040;1;02;016;50;787;1100;11;0
040;1;02;018;2;34;1100;11;0
040;1;02;020;66;1014;1100;11;0
040;1;02;022;2;54;1100;11;0
040;1;02;024;2;36;1100;11;0
040;1;02;026;2;38;1100;11;0
040;1;02;028;25;354;1100;11;0
040;1;02;030;1;23;1100;11;0
040;1;02;032;8;113;1100;11;0
040;1;02;034;2;29;1100;11;0
040;1;02;036;1;20;1100;11;0
040;1;02;038;1;17;1100;11;0
040;1;02;040;2;36;1100;11;0
040;1;02;042;1;20;1100;11;0
040;1;02;044;2;34;1100;11;0
040;1;02;046;35;548;1100;11;0
040;1;02;048;1;19;1100;11;0
040;1;02;050;47;708;1100;11;0
040;1;02;052;2;35;1100;11;0
040;1;02;054;6;94;1100;11;0
040;1;02;056;50;756;1100;11;0
040;1;02;058;2;55;1100;11;0
040;1;02;060;66;977;1100;11;0
040;1;02;062;1;20;1100;11;0
040;1;02;064;2;35;1100;11;0
040;1;02;066;35;523;1100;11;0
040;1;02;068;1;19;1100;11;0
040;1;02;070;47;709;1100;11;0
040;1;02;072;2;35;1100;11;0
040;1;02;074;6;112;1100;11;0
040;1;02;076;50;763;1100;11;0
040;1;02;078;2;34;1100;11;0
040;1;02;080;66;979;1100;11;0
040;1;02;082;25;670;1100;11;0
040;1;02;084;66;1094;1100;11;0
040;1;02;086;1;25;1100;11;0
040;1;02;088;1;22;1100;11;0
040;1;02;090;37;642;1100;11;0
040;1;02;092;1;19;1100;11;0
040;1;02;094;20;330;1100;11;0
040;1;02;096;50;825;1100;11;0
040;1;02;098;34;517;1100;11;0
040;1;02;100;2;38;1100;11;0
040;1;03;002;147;2288;900;9;0
040;1;03;004;98;1430;900;9;0
040;1;03;006;45;636;900;9;0
040;1;03;008;180;2760;900;9;0
040;1;03;010;1;35;1000;10;0
040;1;03;012;23;362;900;9;0
040;1;03;014;2;32;1000;10;0
040;1;03;016;8;119;900;9;0
040;1;03;018;82;1247;900;9;0
040;1;03;020;223;3312;900;9;0
040;1;03;022;1;37;900;9;0
040;1;03;024;1;19;1000;10;0
040;1;03;026;1;21;1000;10;0
040;1;03;028;1;19;1000;10;0
040;1;03;030;2;37;1000;10;0
040;1;03;032;111;1717;900;9;0
040;1;03;034;1;20;1000;10;0
040;1;03;036;1;21;1000;10;0
040;1;03;038;64;951;900;9;0
040;1;03;040;1;22;1000;10;0
040;1;03;042;147;2138;900;9;0
040;1;03;044;98;1427;900;9;0
040;1;03;046;45;670;900;9;0
040;1;03;048;180;2679;900;9;0
040;1;03;050;1;18;1000;10;0
040;1;03;052;23;331;900;9;0
040;1;03;054;2;33;1000;10;0
040;1;03;056;8;119;900;9;0
040;1;03;058;82;1212;900;9;0
040;1;03;060;223;3306;900;9;0
040;1;03;062;147;2161;900;9;0
040;1;03;064;98;1488;900;9;0
040;1;03;066;45;654;900;9;0
040;1;03;068;180;2683;900;9;0
040;1;03;070;1;18;1000;10;0
040;1;03;072;23;334;900;9;0
040;1;03;074;2;33;1000;10;0
040;1;03;076;8;120;900;9;0
040;1;03;078;82;1206;900;9;0
040;1;03;080;223;3306;900;9;0
040;1;03;082;303;5568;900;9;0
040;1;03;084;64;1060;900;9;0
040;1;03;086;111;1856;900;9;0
040;1;03;088;381;6610;900;9;0
040;1;03;090;239;4043;900;9;0
040;1;03;092;20;341;900;9;0
040;1;03;094;56;826;900;9;0
040;1;03;096;1;17;1000;10;0
040;1;03;098;1;20;1000;10;0
040;1;03;100;109;1631;900;9;0
040;1;04;002;1;19;1000;10;0
040;1;04;004;2;33;1000;10;0
040;1;04;006;2;33;1000;10;0
040;1;04;008;9;129;1000;10;0
040;1;04;010;21;293;1000;10;0
040;1;04;012;2;32;1000;10;0
040;1;04;014;2;33;1000;10;0
040;1;04;016;2;32;1000;10;0
040;1;04;018;1;18;1000;10;0
040;1;04;020;2;32;1000;10;0
040;1;04;022;9;199;1000;10;0
040;1;04;024;1;17;1000;10;0
040;1;04;026;1;18;1000;10;0
040;1;04;028;2;30;1000;10;0
040;1;04;030;1;15;1000;10;0
040;1;04;032;51;760;1000;10;0
040;1;04;034;2;33;1000;10;0
040;1;04;036;2;31;1000;10;0
040;1;04;038;2;26;1000;10;0
040;1;04;040;2;38;1000;10;0
040;1;04;042;1;19;1000;10;0
040;1;04;044;2;33;1000;10;0
040;1;04;046;2;33;1000;10;0
040;1;04;048;9;128;1000;10;0
040;1;04;050;21;295;1000;10;0
040;1;04;052;2;32;1000;10;0
040;1;04;054;2;33;1000;10;0
040;1;04;056;2;32;1000;10;0
040;1;04;058;1;18;1000;10;0
040;1;04;060;2;33;1000;10;0
040;1;04;062;1;18;1000;10;0
040;1;04;064;2;33;1000;10;0
040;1;04;066;2;33;1000;10;0
040;1;04;068;9;127;1000;10;0
040;1;04;070;21;291;1000;10;0
040;1;04;072;2;32;1000;10;0
040;1;04;074;2;34;1000;10;0
040;1;04;076;2;32;1000;10;0
040;1;04;078;1;18;1000;10;0
040;1;04;080;2;36;1000;10;0
040;1;04;082;2;62;1000;10;0
040;1;04;084;22;382;1000;10;0
040;1;04;086;2;37;1000;10;0
040;1;04;088;2;39;1000;10;0
040;1;04;090;1;26;1000;10;0
040;1;04;092;42;657;1000;10;0
040;1;04;094;1;16;1000;10;0
040;1;04;096;2;40;1000;10;0
040;1;04;098;7;117;1000;10;0
040;1;04;100;2;48;1000;10;0
040;1;05;002;1;41;1200;12;0
040;1;05;004;1;19;1200;12;0
040;1;05;006;1;19;1200;12;0
040;1;05;008;1;19;1200;12;0
040;1;05;010;1;19;1200;12;0
040;1;05;012;1;19;1200;12;0
040;1;05;014;1;19;1200;12;0
040;1;05;016;2;34;1200;12;0
040;1;05;018;1;19;1200;12;0
040;1;05;020;2;34;1200;12;0
040;1;05;022;1;141;1200;12;0
040;1;05;024;1;21;1200;12;0
040;1;05;026;1;22;1200;12;0
040;1;05;028;2;37;1200;12;0
040;1;05;030;1;23;1200;12;0
040;1;05;032;1;19;1200;12;0
040;1;05;034;1;18;1200;12;0
040;1;05;036;1;21;1200;12;0
040;1;05;038;1;18;1200;12;0
040;1;05;040;1;21;1200;12;0
