Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;2;217;1300;13;0
040;1;01;004;2;179;1300;13;0
040;1;01;006;3;283;1300;13;0
040;1;01;008;2;179;1300;13;0
040;1;01;010;2;178;1300;13;0
040;1;01;012;3;281;1300;13;0
040;1;01;014;1;81;1300;13;0
040;1;01;016;2;181;1300;13;0
040;1;01;018;1;88;1300;13;0
040;1;01;020;2;181;1300;13;0
040;1;01;022;2;172;1300;13;0
040;1;01;024;3;269;1300;13;0
040;1;01;026;1;80;1300;13;0
040;1;01;028;4;379;1300;13;0
040;1;01;030;2;182;1300;13;0
040;1;01;032;3;269;1300;13;0
040;1;01;034;1;81;1300;13;0
040;1;01;036;3;277;1300;13;0
040;1;01;038;3;270;1300;13;0
040;1;01;040;2;172;1300;13;0
040;1;01;042;2;166;1300;13;0
040;1;01;044;2;180;1300;13;0
040;1;01;046;1;85;1300;13;0
040;1;01;048;2;184;1300;13;0
040;1;01;050;3;264;1300;13;0
040;1;01;052;3;266;1300;13;0
040;1;01;054;2;176;1300;13;0
040;1;01;056;3;268;1300;13;0
040;1;01;058;3;275;1300;13;0
040;1;01;060;3;281;1300;13;0
040;1;01;062;2;172;1300;13;0
040;1;01;064;3;283;1300;13;0
040;1;01;066;3;273;1300;13;0
040;1;01;068;2;184;1300;13;0
040;1;01;070;2;177;1300;13;0
040;1;01;072;2;180;1300;13;0
040;1;01;074;3;271;1300;13;0
040;1;01;076;2;172;1300;13;0
040;1;01;078;2;182;1300;13;0
040;1;01;080;2;175;1300;13;0
040;1;01;082;2;169;1300;13;0
040;1;01;084;2;178;1300;13;0
040;1;01;086;3;277;1300;13;0
040;1;01;088;2;173;1300;13;0
040;1;01;090;2;179;1300;13;0
040;1;01;092;2;181;1300;13;0
040;1;01;094;2;180;1300;13;0
040;1;01;096;2;175;1300;13;0
040;1;01;098;2;174;1300;13;0
040;1;01;100;2;181;1300;13;0
040;1;02;002;2;214;1100;11;0
040;1;02;004;20;1894;1100;11;0
040;1;02;006;3;280;1100;11;0
040;1;02;008;1;77;1100;11;0
040;1;02;010;2;175;1100;11;0
040;1;02;012;20;1882;1100;11;0
040;1;02;014;17;1619;1100;11;0
040;1;02;016;4;365;1100;11;0
040;1;02;018;5;449;1100;11;0
040;1;02;020;23;2199;1100;11;0
040;1;02;022;3;262;1100;11;0
040;1;02;024;8;739;1100;11;0
040;1;02;026;2;172;1100;11;0
040;1;02;028;3;268;1100;11;0
040;1;02;030;4;355;1100;11;0
040;1;02;032;3;270;1100;11;0
040;1;02;034;5;461;1100;11;0
040;1;02;036;2;171;1100;11;0
040;1;02;038;2;176;1100;11;0
040;1;02;040;7;631;1100;11;0
040;1;02;042;3;281;1100;11;0
040;1;02;044;4;395;1100;11;0
040;1;02;046;2;172;1100;11;0
040;1;02;048;2;188;1100;11;0
040;1;02;050;3;267;1100;11;0
040;1;02;052;17;1565;1100;11;0
040;1;02;054;7;647;1100;11;0
040;1;02;056;1;80;1100;11;0
040;1;02;058;3;273;1100;11;0
040;1;02;060;3;280;1100;11;0
040;1;02;062;3;269;1100;11;0
040;1;02;064;18;1722;1100;11;0
040;1;02;066;4;361;1100;11;0
040;1;02;068;2;183;1100;11;0
040;1;02;070;14;1328;1100;11;0
040;1;02;072;2;175;1100;11;0
040;1;02;074;3;261;1100;11;0
040;1;02;076;2;170;1100;11;0
040;1;02;078;2;173;1100;11;0
040;1;02;080;4;365;1100;11;0
040;1;02;082;2;176;1100;11;0
040;1;02;084;4;372;1100;11;0
040;1;02;086;2;180;1100;11;0
040;1;02;088;4;356;1100;11;0
040;1;02;090;3;271;1100;11;0
040;1;02;092;3;280;1100;11;0
040;1;02;094;3;278;1100;11;0
040;1;02;096;2;185;1100;11;0
040;1;02;098;3;263;1100;11;0
040;1;02;100;13;1220;1100;11;0
040;1;03;002;34;3568;900;9;0
040;1;03;004;330;33506;900;9;0
040;1;03;006;10;950;900;9;0
040;1;03;008;113;12262;900;9;0
040;1;03;010;105;10650;900;9;0
040;1;03;012;18;1699;900;9;0
040;1;03;014;6;564;900;9;0
040;1;03;016;117;11479;900;9;0
040;1;03;018;4;360;900;9;0
040;1;03;020;66;6511;900;9;0
040;1;03;022;62;6147;900;9;0
040;1;03;024;15;1519;900;9;0
040;1;03;026;9;874;900;9;0
040;1;03;028;19;1919;900;9;0
040;1;03;030;5;492;900;9;0
040;1;03;032;2;191;900;9;0
040;1;03;034;152;15352;900;9;0
040;1;03;036;99;9396;900;9;0
040;1;03;038;8;748;900;9;0
040;1;03;040;16;1575;900;9;0
040;1;03;042;2;182;900;9;0
040;1;03;044;43;4261;900;9;0
040;1;03;046;6;618;900;9;0
040;1;03;048;14;1348;900;9;0
040;1;03;050;2;182;900;9;0
040;1;03;052;2;179;900;9;0
040;1;03;054;1;77;1000;10;0
040;1;03;056;1;82;1000;10;0
040;1;03;058;65;6264;900;9;0
040;1;03;060;1;79;900;9;0
040;1;03;062;87;8854;900;9;0
040;1;03;064;108;10345;900;9;0
040;1;03;066;3;282;900;9;0
040;1;03;068;83;8417;900;9;0
040;1;03;070;11;1066;900;9;0
040;1;03;072;82;8206;900;9;0
040;1;03;074;1;78;900;9;0
040;1;03;076;2;169;900;9;0
040;1;03;078;86;8676;900;9;0
040;1;03;080;107;10559;900;9;0
040;1;03;082;167;16655;900;9;0
040;1;03;084;1;83;900;9;0
040;1;03;086;1;87;900;9;0
040;1;03;088;2;181;900;9;0
040;1;03;090;1;82;900;9;0
040;1;03;092;39;3856;900;9;0
040;1;03;094;78;7776;900;9;0
040;1;03;096;21;2091;900;9;0
040;1;03;098;49;4938;900;9;0
040;1;03;100;2;171;900;9;0
040;1;04;002;2;209;1000;10;0
040;1;04;004;2;170;1000;10;0
040;1;04;006;2;177;1000;10;0
040;1;04;008;4;381;1000;10;0
040;1;04;010;2;183;1000;10;0
040;1;04;012;3;281;1000;10;0
040;1;04;014;2;168;1000;10;0
040;1;04;016;23;2273;1000;10;0
040;1;04;018;2;168;1000;10;0
040;1;04;020;1;86;1000;10;0
040;1;04;022;2;173;1000;10;0
040;1;04;024;13;1257;1000;10;0
040;1;04;026;2;168;1000;10;0
040;1;04;028;3;274;1000;10;0
040;1;04;030;2;175;1000;10;0
040;1;04;032;2;178;1000;10;0
040;1;04;034;3;270;1000;10;0
040;1;04;036;2;181;1000;10;0
040;1;04;038;11;1041;1000;10;0
040;1;04;040;2;170;1000;10;0
040;1;04;042;2;166;1000;10;0
040;1;04;044;31;2968;1000;10;0
040;1;04;046;3;267;1000;10;0
040;1;04;048;2;185;1000;10;0
040;1;04;050;2;177;1000;10;0
040;1;04;052;2;173;1000;10;0
040;1;04;054;2;181;1000;10;0
040;1;04;056;2;171;1000;10;0
040;1;04;058;3;283;1000;10;0
040;1;04;060;4;358;1000;10;0
040;1;04;062;2;178;1000;10;0
040;1;04;064;2;168;1000;10;0
040;1;04;066;2;174;1000;10;0
040;1;04;068;2;167;1000;10;0
040;1;04;070;2;179;1000;10;0
040;1;04;072;2;165;1000;10;0
040;1;04;074;2;171;1000;10;0
040;1;04;076;3;281;1000;10;0
040;1;04;078;3;261;1000;10;0
040;1;04;080;2;169;1000;10;0
040;1;04;082;2;168;1000;10;0
040;1;04;084;1;77;1000;10;0
040;1;04;086;1;77;1000;10;0
040;1;04;088;3;269;1000;10;0
040;1;04;090;2;173;1000;10;0
040;1;04;092;2;175;1000;10;0
040;1;04;094;2;171;1000;10;0
