Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;6;86;1300;13;0
040;1;01;004;8;89;1300;13;0
040;1;01;006;9;102;1300;13;0
040;1;01;008;9;106;1300;13;0
040;1;01;010;10;112;1300;13;0
040;1;01;012;8;89;1300;13;0
040;1;01;014;9;100;1300;13;0
040;1;01;016;8;88;1300;13;0
040;1;01;018;9;102;1300;13;0
040;1;01;020;5;60;1300;13;0
040;1;01;022;7;78;1300;13;0
040;1;01;024;10;108;1300;13;0
040;1;01;026;6;70;1300;13;0
040;1;01;028;10;113;1300;13;0
040;1;01;030;8;92;1300;13;0
040;1;01;032;6;70;1300;13;0
040;1;01;034;7;76;1300;13;0
040;1;01;036;8;97;1300;13;0
040;1;01;038;10;114;1300;13;0
040;1;01;040;9;104;1300;13;0
040;1;01;042;5;59;1300;13;0
040;1;01;044;7;79;1300;13;0
040;1;01;046;11;120;1300;13;0
040;1;01;048;7;79;1300;13;0
040;1;01;050;8;94;1300;13;0
040;1;01;052;8;85;1300;13;0
040;1;01;054;8;87;1300;13;0
040;1;01;056;9;101;1300;13;0
040;1;01;058;7;79;1300;13;0
040;1;01;060;4;47;1300;13;0
040;1;01;062;7;78;1300;13;0
040;1;01;064;7;82;1300;13;0
040;1;01;066;9;102;1300;13;0
040;1;01;068;10;113;1300;13;0
040;1;01;070;7;82;1300;13;0
040;1;01;072;9;106;1300;13;0
040;1;01;074;9;104;1300;13;0
040;1;01;076;8;89;1300;13;0
040;1;01;078;8;93;1300;13;0
040;1;01;080;7;76;1300;13;0
040;1;01;082;10;112;1300;13;0
040;1;01;084;9;105;1300;13;0
040;1;01;086;9;102;1300;13;0
040;1;01;088;11;125;1300;13;0
040;1;01;090;7;81;1300;13;0
040;1;01;092;8;89;1300;13;0
040;1;01;094;4;50;1300;13;0
040;1;01;096;6;71;1300;13;0
040;1;01;098;8;93;1300;13;0
040;1;01;100;9;103;1300;13;0
040;1;02;002;10;115;1100;11;0
040;1;02;004;5;58;1200;12;0
040;1;02;006;110;1139;1100;11;0
040;1;02;008;8;87;1100;11;0
040;1;02;010;29;309;1100;11;0
040;1;02;012;7;76;1200;12;0
040;1;02;014;5;56;1200;12;0
040;1;02;016;144;1470;1100;11;0
040;1;02;018;6;69;1200;12;0
040;1;02;020;5;56;1200;12;0
040;1;02;022;124;1287;1100;11;0
040;1;02;024;179;1941;1100;11;0
040;1;02;026;9;96;1100;11;0
040;1;02;028;9;98;1100;11;0
040;1;02;030;10;110;1100;11;0
040;1;02;032;153;1566;1100;11;0
040;1;02;034;7;79;1100;11;0
040;1;02;036;11;123;1100;11;0
040;1;02;038;8;85;1100;11;0
040;1;02;040;10;113;1100;11;0
040;1;02;042;25;271;1100;11;0
040;1;02;044;9;100;1100;11;0
040;1;02;046;9;102;1100;11;0
040;1;02;048;30;310;1100;11;0
040;1;02;050;19;210;1100;11;0
040;1;02;052;5;57;1200;12;0
040;1;02;054;6;64;1200;12;0
040;1;02;056;117;1234;1100;11;0
040;1;02;058;12;134;1100;11;0
040;1;02;060;102;1059;1100;11;0
040;1;02;062;8;86;1100;11;0
040;1;02;064;11;117;1100;11;0
040;1;02;066;11;122;1100;11;0
040;1;02;068;11;121;1100;11;0
040;1;02;070;8;85;1200;12;0
040;1;02;072;9;102;1100;11;0
040;1;02;074;9;99;1100;11;0
040;1;02;076;10;109;1100;11;0
040;1;02;078;14;153;1100;11;0
040;1;02;080;19;204;1100;11;0
040;1;02;082;16;176;1100;11;0
040;1;02;084;8;84;1200;12;0
040;1;02;086;90;948;1100;11;0
040;1;02;088;25;255;1100;11;0
040;1;02;090;90;968;1100;11;0
040;1;02;092;15;160;1100;11;0
040;1;02;094;14;153;1100;11;0
040;1;02;096;20;214;1100;11;0
040;1;02;098;9;102;1200;12;0
040;1;02;100;10;108;1100;11;0
040;1;03;002;10;123;1000;10;0
040;1;03;004;7;76;1000;10;0
040;1;03;006;4;46;1100;11;0
040;1;03;008;67;759;900;9;0
040;1;03;010;21;230;1000;10;0
040;1;03;012;7;79;1000;10;0
040;1;03;014;6;66;1000;10;0
040;1;03;016;6;67;1000;10;0
040;1;03;018;11;124;1000;10;0
040;1;03;020;6;68;1100;11;0
040;1;03;022;6;69;1000;10;0
040;1;03;024;72;747;1000;10;0
040;1;03;026;5;56;1000;10;0
040;1;03;028;23;239;1000;10;0
040;1;03;030;9;101;1000;10;0
040;1;03;032;367;3713;1000;10;0
040;1;03;034;22;226;1000;10;0
040;1;03;036;32;354;900;9;0
040;1;03;038;26;274;900;9;0
040;1;03;040;9;99;1000;10;0
040;1;03;042;10;117;900;9;0
040;1;03;044;9;98;1000;10;0
040;1;03;046;12;133;900;9;0
040;1;03;048;9;101;1000;10;0
040;1;03;050;8;91;1000;10;0
