Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;13;910;3400;13;0
040;1;01;004;5;303;3400;13;0
040;1;01;006;16;1004;3400;13;0
040;1;01;008;6;361;3400;13;0
040;1;01;010;7;426;3400;13;0
040;1;01;012;10;614;3400;13;0
040;1;01;014;13;802;3400;13;0
040;1;01;016;35;2150;3400;13;0
040;1;01;018;9;553;3400;13;0
040;1;01;020;9;561;3400;13;0
040;1;01;022;6;388;3400;13;0
040;1;01;024;6;380;3400;13;0
040;1;01;026;9;571;3400;13;0
040;1;01;028;23;1446;3400;13;0
040;1;01;030;11;700;3400;13;0
040;1;01;032;10;634;3400;13;0
040;1;01;034;10;629;3400;13;0
040;1;01;036;12;793;3400;13;0
040;1;01;038;12;791;3400;14;0
040;1;01;040;8;527;3400;13;0
040;1;01;042;6;442;3400;13;0
040;1;01;044;9;634;3400;13;0
040;1;01;046;13;904;3400;13;0
040;1;01;048;8;572;3400;14;0
040;1;01;050;12;863;3400;13;0
040;1;01;052;8;551;3400;13;0
040;1;01;054;11;845;3400;13;0
040;1;01;056;18;1252;3400;13;0
040;1;01;058;11;772;3400;13;0
040;1;01;060;9;601;3400;13;0
040;1;01;062;5;325;3400;13;0
040;1;01;064;19;1210;3400;13;0
040;1;01;066;20;1277;3400;13;0
040;1;01;068;12;755;3400;13;0
040;1;01;070;6;375;3400;13;0
040;1;01;072;8;507;3400;13;0
040;1;01;074;12;763;3400;13;0
040;1;01;076;15;974;3400;13;0
040;1;01;078;7;447;3400;13;0
040;1;01;080;6;381;3400;13;0
040;1;01;082;12;1069;3400;13;0
040;1;01;084;15;1387;3400;13;0
040;1;01;086;10;898;3400;13;0
040;1;01;088;9;807;3400;13;0
040;1;01;090;17;1561;3400;13;0
040;1;01;092;8;702;3400;13;0
040;1;01;094;9;815;3400;13;0
040;1;01;096;8;726;3400;13;0
040;1;01;098;6;545;3400;13;0
040;1;01;100;16;1447;3400;13;0
040;1;02;002;12;871;3500;11;0
040;1;02;004;19;1373;3500;12;0
040;1;02;006;11;784;3500;11;0
040;1;02;008;8;566;3500;11;0
040;1;02;010;6;438;3500;12;0
040;1;02;012;19;1390;3500;11;0
040;1;02;014;77;5677;3500;11;0
040;1;02;016;17;1266;3500;11;0
040;1;02;018;17;1259;3500;11;0
040;1;02;020;31;2320;3500;12;0
040;1;02;022;25;1437;3500;12;0
040;1;02;024;49;2832;3500;11;0
040;1;02;026;5;277;3500;11;0
040;1;02;028;8;450;3500;11;0
040;1;02;030;19;1095;3500;11;0
040;1;02;032;21;1229;3500;11;0
040;1;02;034;15;878;3500;11;0
040;1;02;036;27;1576;3500;11;0
040;1;02;038;12;703;3500;11;0
040;1;02;040;12;695;3500;11;0
040;1;02;042;10;826;3500;11;0
040;1;02;044;8;591;3500;11;0
040;1;02;046;14;1104;3500;12;0
040;1;02;048;17;1232;3500;12;0
040;1;02;050;32;2258;3500;11;0
040;1;02;052;43;3053;3500;11;0
040;1;02;054;36;2635;3500;11;0
040;1;02;056;45;3192;3500;11;0
040;1;02;058;15;1036;3500;11;0
040;1;02;060;13;817;3500;11;0
040;1;02;062;7;570;3500;11;0
040;1;02;064;54;3185;3500;12;0
040;1;02;066;13;756;3500;11;0
040;1;02;068;35;2058;3500;11;0
040;1;02;070;20;1180;3500;11;0
040;1;02;072;65;3841;3500;11;0
040;1;02;074;17;997;3500;11;0
040;1;02;076;28;1629;3500;11;0
040;1;02;078;22;1301;3500;12;0
040;1;02;080;3;168;3500;11;0
040;1;02;082;18;1659;3500;11;0
040;1;02;084;34;3164;3500;11;0
040;1;02;086;30;2764;3500;11;0
040;1;02;088;10;904;3500;12;0
040;1;02;090;27;2444;3500;12;0
040;1;02;092;3;273;3500;11;0
040;1;02;094;10;900;3500;12;0
040;1;02;096;18;1624;3500;11;0
040;1;02;098;20;1812;3500;12;0
040;1;02;100;12;1071;3500;11;0
040;1;03;002;4;681;2300;9;0
040;1;03;004;4;267;2300;9;0
040;1;03;006;31;2139;2300;9;0
040;1;03;008;6;409;2300;9;0
040;1;03;010;88;6395;2300;9;0
040;1;03;012;96;7015;2300;9;0
