Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;21;138;3400;13;0
040;1;01;004;56;316;3400;13;0
040;1;01;006;28;156;3400;13;0
040;1;01;008;25;142;3400;13;0
040;1;01;010;48;273;3400;13;0
040;1;01;012;18;103;3400;13;0
040;1;01;014;22;123;3400;13;0
040;1;01;016;23;130;3400;13;0
040;1;01;018;37;210;3400;13;0
040;1;01;020;15;86;3400;13;0
040;1;01;022;28;159;3400;13;0
040;1;01;024;17;99;3400;13;0
040;1;01;026;23;130;3400;13;0
040;1;01;028;45;252;3400;13;0
040;1;01;030;26;149;3400;13;0
040;1;01;032;31;177;3400;13;0
040;1;01;034;29;162;3400;13;0
040;1;01;036;35;199;3400;13;0
040;1;01;038;17;100;3400;13;0
040;1;01;040;24;134;3400;13;0
040;1;01;042;18;103;3400;13;0
040;1;01;044;58;328;3400;13;0
040;1;01;046;9;56;3400;13;0
040;1;01;048;13;77;3400;13;0
040;1;01;050;14;81;3400;13;0
040;1;01;052;42;234;3400;13;0
040;1;01;054;21;119;3400;13;0
040;1;01;056;16;94;3400;13;0
040;1;01;058;28;160;3400;13;0
040;1;01;060;15;90;3400;13;0
040;1;01;062;30;169;3400;13;0
040;1;01;064;26;147;3400;13;0
040;1;01;066;26;147;3400;13;0
040;1;01;068;33;182;3400;13;0
040;1;01;070;30;171;3400;13;0
040;1;01;072;46;259;3400;13;0
040;1;01;074;34;194;3400;13;0
040;1;01;076;30;165;3400;13;0
040;1;01;078;28;161;3400;13;0
040;1;01;080;28;159;3400;13;0
040;1;01;082;17;98;3400;13;0
040;1;01;084;20;115;3400;13;0
040;1;01;086;17;97;3400;13;0
040;1;01;088;60;334;3400;13;0
040;1;01;090;19;112;3400;13;0
040;1;01;092;11;67;3400;13;0
040;1;01;094;14;83;3400;13;0
040;1;01;096;79;435;3400;13;0
040;1;01;098;15;89;3400;13;0
040;1;01;100;13;77;3400;13;0
040;1;02;002;76;438;3600;11;0
040;1;02;004;6;39;3800;12;0
040;1;02;006;9;54;3600;11;0
040;1;02;008;48;265;3600;11;0
040;1;02;010;30;171;3700;12;0
040;1;02;012;13;75;3700;12;0
040;1;02;014;19;112;3700;12;0
040;1;02;016;16;94;3700;12;0
040;1;02;018;26;144;3500;11;0
040;1;02;020;170;938;3600;11;0
040;1;02;022;27;153;3700;12;0
040;1;02;024;12;69;3500;11;0
040;1;02;026;23;129;3500;11;0
040;1;02;028;11;64;3600;11;0
040;1;02;030;8;49;3600;11;0
040;1;02;032;11;66;3600;11;0
040;1;02;034;7;44;3500;11;0
040;1;02;036;29;167;3600;11;0
040;1;02;038;67;372;3600;11;0
040;1;02;040;16;92;3700;12;0
040;1;02;042;9;54;3700;12;0
040;1;02;044;53;295;3700;12;0
040;1;02;046;9;56;3600;11;0
040;1;02;048;9;54;3600;11;0
040;1;02;050;33;192;3500;11;0
040;1;02;052;14;82;3700;12;0
040;1;02;054;17;98;3500;11;0
040;1;02;056;11;65;3500;11;0
040;1;02;058;14;80;3500;11;0
040;1;02;060;20;117;3500;11;0
040;1;02;062;17;100;3700;12;0
040;1;02;064;18;104;3600;11;0
040;1;02;066;29;162;3700;12;0
