sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;1682.534;112.894;3012.4;11.132;0.0
40.0;3.0;683.708;40.886;1083.0;4.708;0.0
40.0;5.0;970.106;47.468;781.0;3.384;0.0
40.0;7.0;259.832;11.714;544.0;2.532;0.0
40.0;9.0;147.856;7.318;406.2;2.0;0.0
60.0;1.0;8609.668;253.252;3055.2;11.77;0.0
60.0;3.0;7654.778;142.52;1281.4;5.46;0.0
60.0;5.0;6795.852;91.632;882.6;3.938;0.0
60.0;7.0;3320.496;49.092;603.2;2.86;0.0
60.0;9.0;1522.784;30.582;422.2;2.0;0.0
80.0;1.0;19679.344;279.386;3640.8;13.646;0.0
80.0;3.0;23094.08;156.35;1468.6;6.074;0.0
80.0;5.0;15789.942;85.428;939.0;4.034;0.0
80.0;7.0;5147.544;32.974;650.6;3.0;0.0
80.0;9.0;1583.2449799196788;15.600401606425702;435.9437751004016;2.0;0.0
100.0;1.0;40550.71968190855;275.6083499005964;3911.1332007952287;14.660039761431412;0.0
100.0;3.0;55088.56;173.894;1655.8;6.702;0.0
100.0;5.0;30588.992;79.08;1042.4;4.232;0.0
100.0;7.0;9464.18;31.156;678.6;3.002;0.0
100.0;9.0;1140.922;5.258;421.8;2.0;0.0
