sep=;
Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;465.298;40.046;3034.2;11.35;0.0
40.0;3.0;513.378;42.92;1103.6;4.902;0.0
40.0;5.0;547.866;46.724;718.6;3.376;0.0
40.0;7.0;519.13;44.08;498.4;2.376;0.0
40.0;9.0;99.73;9.79;400.0;2.0;0.0
60.0;1.0;1303.688;85.666;3088.2;12.14;0.0
60.0;3.0;1348.474;76.266;1266.2;5.694;0.0
60.0;5.0;822.144;46.568;794.8;3.882;0.0
60.0;7.0;712.496;45.976;563.2;2.748;0.0
60.0;9.0;219.132;19.136;400.0;2.0;0.0
80.0;1.0;2169.326;118.024;3472.8;13.938;0.0
80.0;3.0;2094.072;97.162;1409.0;6.444;0.0
80.0;5.0;2107.706;97.132;838.2;4.058;0.0
80.0;7.0;701.002;43.216;600.2;3.0;0.0
80.0;9.0;398.62449799196787;32.6285140562249;400.0;2.0;0.0
100.0;1.0;4490.504;173.892;3598.8;14.932;0.0
100.0;3.0;3711.526;132.232;1503.0;7.04;0.0
100.0;5.0;3518.2;122.434;911.6;4.406;0.0
100.0;7.0;1915.04;86.842;603.8;3.002;0.0
100.0;9.0;883.972;58.1;400.0;2.0;0.0
