sep=;
Size;Problem;Instance;Generations;Time;Fitness;Regenerators;Disconnected;Seed
040;1;01;2;217;1300;13;0;50
040;1;02;17;1524;1100;11;0;50
040;1;03;3;274;900;9;0;50
040;1;04;3;274;1000;10;0;50
040;1;05;2;174;1200;12;0;50
040;1;06;150;14962;1100;11;0;50
040;1;07;24;2397;1100;11;0;50
040;1;08;1;91;1000;10;0;50
040;1;09;96;9048;1000;10;0;50
040;1;10;1;86;1000;10;0;50
040;2;01;1;113;600;6;0;50
040;2;02;2;169;600;6;0;50
040;2;03;1;119;600;6;0;50
040;2;04;1;87;600;6;0;50
040;2;05;43;4085;600;6;0;50
040;3;01;1;66;500;5;0;50
040;3;02;1;110;500;5;0;50
040;3;03;1;90;400;4;0;50
040;3;04;3;228;400;4;0;50
040;3;05;3;226;400;4;0;50
040;3;06;1;84;500;5;0;50
040;3;07;4;322;400;4;0;50
040;3;08;1;71;500;5;0;50
040;3;09;24;1845;400;4;0;50
040;3;10;1;62;500;5;0;50
040;4;01;1;64;400;4;0;50
040;4;02;1;59;400;4;0;50
040;4;03;1;72;300;3;0;50
040;4;04;1;72;400;4;0;50
040;4;05;1;65;400;4;0;50
040;5;01;1;61;300;3;0;50
040;5;02;1;80;300;3;0;50
040;5;03;1;62;300;3;0;50
040;5;04;1;59;300;3;0;50
040;5;05;1;63;300;3;0;50
040;5;06;1;62;300;3;0;50
040;5;07;1;78;300;3;0;50
040;5;08;1;65;300;3;0;50
040;5;09;1;62;300;3;0;50
040;5;10;1;59;300;3;0;50
040;6;01;1;58;300;3;0;50
040;6;02;1;64;300;3;0;50
040;6;03;1;55;300;3;0;50
040;6;04;1;60;300;3;0;50
040;6;05;1;60;300;3;0;50
040;7;01;1;54;200;2;0;50
040;7;02;1;58;200;2;0;50
040;7;03;1;52;200;2;0;50
040;7;04;1;51;200;2;0;50
040;7;05;1;52;200;2;0;50
040;7;06;1;51;200;2;0;50
040;7;07;1;52;200;2;0;50
040;7;08;1;57;200;2;0;50
040;7;09;1;55;200;2;0;50
040;7;10;1;53;200;2;0;50
040;8;01;1;55;200;2;0;50
040;8;02;1;59;200;2;0;50
040;8;03;1;49;200;2;0;50
040;8;04;1;52;200;2;0;50
040;8;05;1;64;200;2;0;50
040;9;01;1;56;200;2;0;50
040;9;02;1;55;200;2;0;50
040;9;03;1;63;200;2;0;50
040;9;04;1;75;200;2;0;50
040;9;05;1;76;200;2;0;50
040;9;06;1;69;200;2;0;50
040;9;07;1;52;200;2;0;50
040;9;08;1;67;200;2;0;50
040;9;09;1;65;200;2;0;50
040;9;10;1;58;200;2;0;50
060;1;01;1;147;1200;12;0;50
060;1;02;6;961;1100;11;0;50
060;1;03;2;287;1100;11;0;50
060;1;04;76;11844;1200;12;0;50
060;1;05;4;642;1200;12;0;50
060;1;06;466;73098;1100;11;0;50
060;1;07;22;3067;1100;11;0;50
060;1;08;12;1685;1100;11;0;50
060;1;09;25;4045;1200;12;0;50
060;1;10;209;31012;1100;11;0;50
060;2;01;1;138;700;7;0;50
060;2;02;289;44207;700;7;0;50
060;2;03;26;4227;700;7;0;50
060;2;04;2;257;700;7;0;50
060;2;05;15;2242;700;7;0;50
060;3;01;2;283;500;5;0;50
060;3;02;4;589;500;5;0;50
060;3;03;5;745;500;5;0;50
060;3;04;1;114;500;5;0;50
060;3;05;1;140;500;5;0;50
060;3;06;1;119;500;5;0;50
060;3;07;1;134;500;5;0;50
060;3;08;4;615;500;5;0;50
060;3;09;1;128;500;5;0;50
060;3;10;11;1683;500;5;0;50
060;4;01;2;271;400;4;0;50
060;4;02;2;258;400;4;0;50
060;4;03;4;622;400;4;0;50
060;4;04;1;102;400;4;0;50
060;4;05;1;86;400;4;0;50
060;5;01;1;120;400;4;0;50
060;5;02;1;99;300;3;0;50
060;5;03;1;119;300;3;0;50
060;5;04;5;782;300;3;0;50
060;5;05;1;104;300;3;0;50
060;5;06;6;941;300;3;0;50
060;5;07;1;80;300;3;0;50
060;5;08;1;89;300;3;0;50
060;5;09;15;2389;300;3;0;50
060;5;10;50;8240;300;3;0;50
060;6;01;1;99;300;3;0;50
060;6;02;1;82;300;3;0;50
060;6;03;1;79;300;3;0;50
060;6;04;1;105;300;3;0;50
060;6;05;1;76;300;3;0;50
060;7;01;1;117;200;2;0;50
060;7;02;1;96;200;2;0;50
060;7;03;1;84;200;2;0;50
060;7;04;2;263;200;2;0;50
060;7;05;3;469;200;2;0;50
060;7;06;2;239;200;2;0;50
060;7;07;2;253;200;2;0;50
060;7;08;1;96;200;2;0;50
060;7;09;1;131;300;3;0;50
060;7;10;1;85;200;2;0;50
060;8;01;1;99;200;2;0;50
060;8;02;1;75;200;2;0;50
060;8;03;1;99;200;2;0;50
060;8;04;1;72;200;2;0;50
060;8;05;1;64;200;2;0;50
060;9;01;1;94;200;2;0;50
060;9;02;1;85;200;2;0;50
060;9;03;1;73;200;2;0;50
060;9;04;1;66;200;2;0;50
060;9;05;1;97;200;2;0;50
060;9;06;1;81;200;2;0;50
060;9;07;1;63;200;2;0;50
060;9;08;1;68;200;2;0;50
060;9;09;1;90;200;2;0;50
060;9;10;1;76;200;2;0;50
080;1;01;326;66371;1200;12;0;50
080;1;02;189;37724;1400;14;0;50
080;1;03;28;5355;1200;12;0;50
080;1;04;163;32327;1300;13;0;50
080;1;05;349;71181;1200;12;0;50
080;1;06;7;1347;1400;14;0;50
080;1;07;86;17532;1200;12;0;50
080;1;08;68;13581;1300;13;0;50
080;1;09;4;771;1200;12;0;50
080;1;10;174;34751;1300;13;0;50
080;2;01;59;12334;700;7;0;50
080;2;02;327;69142;700;7;0;50
080;2;03;2;347;800;8;0;50
080;2;04;19;3966;800;8;0;50
080;2;05;60;13173;700;7;0;50
080;3;01;8;1792;500;5;0;50
080;3;02;2;417;500;5;0;50
080;3;03;2;355;600;6;0;50
080;3;04;31;7130;500;5;0;50
080;3;05;13;2141;500;5;0;50
080;3;06;1;91;600;6;0;50
080;3;07;8;1300;500;5;0;50
080;3;08;2;286;500;5;0;50
080;3;09;6;926;500;5;0;50
080;3;10;1;120;500;5;0;50
080;4;01;66;17006;400;4;0;50
080;4;02;2;321;400;4;0;50
080;4;03;2;405;400;4;0;50
080;4;04;2;342;400;4;0;50
080;4;05;92;23216;400;4;0;50
080;5;01;1;118;400;4;0;50
