sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;9;123;1300;13;0
040;1;01;004;8;48;1300;13;0
040;1;01;006;7;42;1300;13;0
040;1;01;008;7;43;1300;13;0
040;1;01;010;8;47;1300;13;0
040;1;01;012;9;51;1300;13;0
040;1;01;014;7;41;1300;13;0
040;1;01;016;9;50;1300;13;0
040;1;01;018;10;56;1300;13;0
040;1;01;020;7;41;1300;13;0
040;1;01;022;7;42;1300;13;0
040;1;01;024;7;42;1300;13;0
040;1;01;026;6;37;1300;13;0
040;1;01;028;9;52;1300;13;0
040;1;01;030;7;42;1300;13;0
040;1;01;032;8;46;1300;13;0
040;1;01;034;9;51;1300;13;0
040;1;01;036;9;52;1300;13;0
040;1;01;038;9;53;1300;13;0
040;1;01;040;8;48;1300;13;0
040;1;01;042;9;56;1300;13;0
040;1;01;044;8;48;1300;13;0
040;1;01;046;7;42;1300;13;0
040;1;01;048;8;49;1300;13;0
040;1;01;050;8;48;1300;13;0
040;1;01;052;9;52;1300;13;0
040;1;01;054;7;42;1300;13;0
040;1;01;056;10;58;1300;13;0
040;1;01;058;9;52;1300;13;0
040;1;01;060;10;58;1300;13;0
040;1;01;062;8;73;1300;13;0
040;1;01;064;9;70;1300;13;0
040;1;01;066;10;62;1300;13;0
040;1;01;068;9;76;1300;13;0
040;1;01;070;7;64;1300;13;0
040;1;01;072;8;78;1300;13;0
040;1;01;074;7;52;1300;13;0
040;1;01;076;8;58;1300;13;0
040;1;01;078;8;53;1300;13;0
040;1;01;080;7;53;1300;13;0
040;1;01;082;8;49;1300;13;0
040;1;01;084;8;47;1300;13;0
040;1;01;086;8;45;1300;13;0
040;1;01;088;7;43;1300;13;0
040;1;01;090;9;51;1300;13;0
040;1;01;092;8;46;1300;13;0
040;1;01;094;10;57;1300;13;0
040;1;01;096;8;47;1300;13;0
040;1;01;098;10;59;1300;13;0
040;1;01;100;10;56;1300;13;0
040;1;02;002;9;57;1200;12;0
040;1;02;004;9;51;1200;12;0
040;1;02;006;13;68;1100;11;0
040;1;02;008;13;70;1100;11;0
040;1;02;010;8;44;1200;12;0
040;1;02;012;8;45;1200;12;0
040;1;02;014;7;41;1200;12;0
040;1;02;016;93;458;1100;11;0
040;1;02;018;7;41;1200;12;0
040;1;02;020;9;51;1200;12;0
040;1;02;022;23;120;1100;11;0
040;1;02;024;242;1178;1100;11;0
040;1;02;026;8;44;1200;12;0
040;1;02;028;8;45;1200;12;0
040;1;02;030;7;40;1200;12;0
040;1;02;032;9;50;1200;12;0
040;1;02;034;10;56;1200;12;0
040;1;02;036;6;35;1200;12;0
040;1;02;038;11;59;1100;11;0
040;1;02;040;7;40;1200;12;0
040;1;02;042;7;89;1200;12;0
040;1;02;044;10;57;1200;12;0
040;1;02;046;9;50;1200;12;0
040;1;02;048;10;57;1200;12;0
040;1;02;050;9;51;1200;12;0
040;1;02;052;8;45;1200;12;0
040;1;02;054;6;35;1200;12;0
040;1;02;056;8;46;1200;12;0
040;1;02;058;8;45;1200;12;0
040;1;02;060;11;61;1100;11;0
040;1;02;062;5;41;1200;12;0
040;1;02;064;10;112;1200;12;0
040;1;02;066;7;54;1200;12;0
040;1;02;068;10;83;1200;12;0
