sep=;
Size;Problem;average(Time);average(Fitness);average(Generations);average(Regenerators);average(Disconnected)
40.0;1.0;106.808;1111.6;18.762;11.116;0.0
40.0;2.0;154.428;604.4;25.952;6.044;0.0
40.0;3.0;97.862;455.2;16.138;4.552;0.0
40.0;4.0;70.5;380.4;10.932;3.804;0.0
40.0;5.0;66.734;300.0;10.498;3.0;0.0
40.0;6.0;33.232;300.0;5.144;3.0;0.0
40.0;7.0;49.416;200.0;8.012;2.0;0.0
40.0;8.0;31.896;200.0;5.384;2.0;0.0
40.0;9.0;28.602;200.0;4.584;2.0;0.0
60.0;1.0;433.11;1170.0;59.266;11.7;0.0
60.0;2.0;367.648;711.2;45.504;7.112;0.0
60.0;3.0;358.008;503.2;40.756;5.032;0.0
60.0;4.0;241.772;400.0;26.312;4.0;0.0
60.0;5.0;472.138;321.6;48.962;3.216;0.0
60.0;6.0;84.676;300.0;9.652;3.0;0.0
60.0;7.0;240.79;210.2;27.16;2.102;0.0
60.0;8.0;66.664;200.0;8.468;2.0;0.0
60.0;9.0;55.528;200.0;7.138;2.0;0.0
80.0;1.0;650.168;1292.0;60.118;12.92;0.0
80.0;2.0;836.884;749.2;76.404;7.492;0.0
80.0;3.0;835.826;538.0;70.18;5.38;0.0
80.0;4.0;1130.264;436.4;86.736;4.364;0.0
80.0;5.0;542.386;378.8;41.604;3.788;0.0
80.0;6.0;186.936;300.0;15.86;3.0;0.0
80.0;7.0;230.662;281.2;18.91;2.812;0.0
80.0;8.0;115.884;200.0;11.204;2.0;0.0
80.0;9.0;87.038;200.0;9.378;2.0;0.0
100.0;1.0;865.874;1338.6;68.096;13.386;0.0
100.0;2.0;1277.92;803.2;93.388;8.032;0.0
100.0;3.0;2142.99;599.8;137.384;5.998;0.0
100.0;4.0;989.64;476.4;58.808;4.764;0.0
100.0;5.0;398.384;400.0;25.322;4.0;0.0
100.0;6.0;439.676;300.0;28.7;3.0;0.0
100.0;7.0;393.132;272.8;26.758;2.728;0.0
100.0;8.0;178.12;200.0;14.812;2.0;0.0
100.0;9.0;123.906;200.0;11.428;2.0;0.0
