Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
040;1;01;002;71;1078;3400;13;0
040;1;01;004;127;1891;3400;13;0
040;1;01;006;168;2478;3400;13;0
040;1;01;008;12;181;3400;14;0
040;1;01;010;61;951;3400;14;0
040;1;01;012;27;423;3400;14;0
040;1;01;014;1;19;3400;14;0
040;1;01;016;50;744;3400;13;0
040;1;01;018;102;1511;3400;13;0
040;1;01;020;1;20;3400;14;0
040;1;01;022;71;1072;3400;13;0
040;1;01;024;127;1871;3400;13;0
040;1;01;026;168;2585;3400;13;0
040;1;01;028;12;181;3400;14;0
040;1;01;030;61;917;3400;14;0
040;1;01;032;27;411;3400;14;0
040;1;01;034;1;19;3400;14;0
040;1;01;036;50;739;3400;13;0
040;1;01;038;102;1516;3400;13;0
040;1;01;040;1;20;3400;14;0
040;1;01;042;73;1182;3400;14;0
040;1;01;044;49;758;3400;14;0
040;1;01;046;59;989;3400;13;0
040;1;01;048;2;38;3400;13;0
040;1;01;050;164;2833;3400;14;0
040;1;01;052;52;802;3400;14;0
040;1;01;054;16;266;3400;14;0
040;1;01;056;128;1896;3400;14;0
040;1;01;058;54;805;3400;14;0
040;1;01;060;68;991;3400;13;0
040;1;01;062;71;1062;3400;13;0
040;1;01;064;127;1869;3400;13;0
040;1;01;066;168;2462;3400;13;0
040;1;01;068;12;180;3400;14;0
040;1;01;070;61;910;3400;14;0
040;1;01;072;27;403;3400;14;0
040;1;01;074;1;20;3400;14;0
040;1;01;076;50;746;3400;13;0
040;1;01;078;102;1525;3400;13;0
040;1;01;080;1;20;3400;14;0
040;1;01;082;71;1066;3400;13;0
040;1;01;084;127;1868;3400;13;0
040;1;01;086;168;2465;3400;13;0
040;1;01;088;12;181;3400;14;0
040;1;01;090;61;907;3400;14;0
040;1;01;092;27;421;3400;14;0
040;1;01;094;1;20;3400;14;0
040;1;01;096;50;745;3400;13;0
040;1;01;098;102;1568;3400;13;0
040;1;01;100;1;20;3400;14;0
040;1;02;002;181;2749;3600;11;0
040;1;02;004;32;483;3600;11;0
040;1;02;006;84;1299;3500;11;0
040;1;02;008;153;2320;3500;12;0
040;1;02;010;15;230;3600;11;0
040;1;02;012;25;401;3500;11;0
040;1;02;014;2;35;3600;11;0
040;1;02;016;187;2832;3500;11;0
040;1;02;018;72;1092;3500;11;0
040;1;02;020;296;4517;3500;11;0
040;1;02;022;181;2752;3600;11;0
040;1;02;024;32;494;3600;11;0
040;1;02;026;84;1233;3500;11;0
040;1;02;028;153;2312;3500;12;0
040;1;02;030;15;229;3600;11;0
040;1;02;032;25;402;3500;11;0
040;1;02;034;2;35;3600;11;0
040;1;02;036;187;2805;3500;11;0
040;1;02;038;72;1104;3500;11;0
040;1;02;040;296;4642;3500;11;0
040;1;02;042;145;2113;3500;11;0
040;1;02;044;78;1097;3600;11;0
040;1;02;046;25;365;3600;12;0
040;1;02;048;117;1624;3600;11;0
040;1;02;050;117;1588;3600;11;0
040;1;02;052;358;4745;3500;12;0
040;1;02;054;1;20;3500;11;0
040;1;02;056;140;1866;3500;12;0
040;1;02;058;71;994;3500;11;0
040;1;02;060;331;4404;3500;11;0
040;1;02;062;181;2821;3600;11;0
040;1;02;064;32;487;3600;11;0
040;1;02;066;84;1244;3500;11;0
040;1;02;068;153;2380;3500;12;0
040;1;02;070;15;229;3600;11;0
040;1;02;072;25;400;3500;11;0
040;1;02;074;2;36;3600;11;0
040;1;02;076;187;2821;3500;11;0
040;1;02;078;72;1098;3500;11;0
040;1;02;080;296;4558;3500;11;0
040;1;02;082;181;2724;3600;11;0
040;1;02;084;32;495;3600;11;0
040;1;02;086;84;1256;3500;11;0
040;1;02;088;153;2334;3500;12;0
040;1;02;090;15;230;3600;11;0
040;1;02;092;25;378;3500;11;0
040;1;02;094;2;34;3600;11;0
040;1;02;096;187;2808;3500;11;0
040;1;02;098;72;1088;3500;11;0
040;1;02;100;296;4469;3500;11;0
040;1;03;002;1;19;2300;9;0
040;1;03;004;127;1870;2300;9;0
040;1;03;006;53;786;2300;9;0
040;1;03;008;48;700;2400;10;0
040;1;03;010;63;945;2300;9;0
040;1;03;012;82;1256;2300;9;0
040;1;03;014;126;1856;2300;9;0
040;1;03;016;451;6774;2300;9;0
040;1;03;018;22;320;2400;10;0
040;1;03;020;225;3296;2300;9;0
040;1;03;022;1;19;2300;9;0
040;1;03;024;127;1856;2300;9;0
040;1;03;026;53;781;2300;9;0
040;1;03;028;48;692;2400;10;0
040;1;03;030;63;936;2300;9;0
040;1;03;032;82;1212;2300;9;0
040;1;03;034;126;1853;2300;9;0
040;1;03;036;451;7001;2300;9;0
040;1;03;038;22;340;2400;10;0
040;1;03;040;225;3315;2300;9;0
040;1;03;042;155;2407;2300;9;0
040;1;03;044;110;1559;2300;9;0
040;1;03;046;56;759;2300;9;0
040;1;03;048;57;804;2400;10;0
040;1;03;050;71;970;2400;10;0
040;1;03;052;80;1005;2300;9;0
040;1;03;054;38;467;2300;9;0
040;1;03;056;263;3379;2400;10;0
040;1;03;058;171;2314;2300;9;0
040;1;03;060;164;2261;2300;9;0
040;1;03;062;1;19;2300;9;0
040;1;03;064;127;1864;2300;9;0
040;1;03;066;53;815;2300;9;0
040;1;03;068;48;708;2400;10;0
040;1;03;070;63;937;2300;9;0
040;1;03;072;82;1221;2300;9;0
040;1;03;074;126;1863;2300;9;0
040;1;03;076;451;6792;2300;9;0
040;1;03;078;22;321;2400;10;0
040;1;03;080;225;3325;2300;9;0
040;1;03;082;1;19;2300;9;0
040;1;03;084;127;1878;2300;9;0
040;1;03;086;53;782;2300;9;0
040;1;03;088;48;690;2400;10;0
040;1;03;090;63;931;2300;9;0
040;1;03;092;82;1209;2300;9;0
040;1;03;094;126;1844;2300;9;0
040;1;03;096;451;6765;2300;9;0
