sep=;
Size;Problem;Instance;Generations;Time;Fitness;Regenerators;Disconnected;Seed
040;1;01;4;344;5800;11;5;50
040;1;02;6;595;4700;11;3;50
040;1;03;6;545;3600;12;1;50
040;1;04;6;529;4500;12;2;50
040;1;05;4;491;5400;13;3;50
040;1;06;8;751;4700;14;1;50
040;1;07;4;455;5100;11;5;50
040;1;08;8;727;4900;12;3;50
040;1;09;3;346;4400;11;3;50
040;1;10;3;283;3700;11;1;50
040;3;01;137;12568;1400;6;0;50
040;3;02;2;155;1300;5;0;50
040;3;03;1;79;1200;5;0;50
040;3;04;5;449;1500;5;0;50
040;3;05;3;277;1300;5;0;50
040;3;06;3;357;1200;5;0;50
040;3;07;45;4602;1400;6;0;50
040;3;08;4;362;1300;6;0;50
040;3;09;17;1590;1600;5;0;50
040;3;10;3;230;1200;5;0;50
040;5;01;2;232;700;3;0;50
040;5;02;3;272;800;3;0;50
040;5;03;5;474;800;4;0;50
040;5;04;1;82;800;4;0;50
040;5;05;4;352;800;3;0;50
040;5;06;3;255;700;3;0;50
040;5;07;2;165;800;3;0;50
040;5;08;1;102;1100;4;0;50
040;5;09;1;92;800;4;0;50
040;5;10;2;171;700;3;0;50
040;7;01;1;79;600;2;0;50
040;7;02;1;73;600;3;0;50
040;7;03;1;61;400;2;0;50
040;7;04;1;87;600;3;0;50
040;7;05;1;66;700;3;0;50
040;7;06;1;67;400;2;0;50
040;7;07;2;149;500;2;0;50
040;7;08;2;138;600;3;0;50
040;7;09;2;180;700;3;0;50
040;7;10;1;81;400;2;0;50
040;9;01;3;206;400;2;0;50
040;9;02;1;55;400;2;0;50
040;9;03;1;68;400;2;0;50
040;9;04;1;74;400;2;0;50
040;9;05;2;169;400;2;0;50
040;9;06;1;89;400;2;0;50
040;9;07;1;61;400;2;0;50
040;9;08;1;54;400;2;0;50
040;9;09;1;72;400;2;0;50
040;9;10;1;61;400;2;0;50
060;1;01;5;738;4900;14;2;50
060;1;02;57;8516;5100;16;1;50
060;1;03;3;472;4000;13;1;50
060;1;04;15;2527;4600;12;2;50
060;1;05;76;10686;4300;14;0;50
060;1;06;39;5199;4600;14;2;50
060;1;07;45;6369;3600;12;1;50
060;1;08;10;1448;4100;13;1;50
060;1;09;23;3111;4500;14;1;50
060;1;10;27;4357;4500;13;1;50
060;3;01;124;18570;1500;5;0;50
060;3;02;16;2212;1400;6;0;50
060;3;03;32;4320;1300;5;0;50
060;3;04;17;2470;1400;6;0;50
060;3;05;2;282;1300;6;0;50
060;3;06;30;4297;1500;6;0;50
060;3;07;11;1649;1400;6;0;50
060;3;08;15;2182;1600;6;0;50
060;3;09;38;6661;1200;6;0;50
060;3;10;4;573;1300;6;0;50
060;5;01;5;972;800;4;0;50
060;5;02;1;168;800;3;0;50
060;5;03;2;319;800;4;0;50
060;5;04;22;3843;800;4;0;50
060;5;05;1;131;800;3;0;50
060;5;06;15;2414;800;4;0;50
060;5;07;3;461;800;3;0;50
060;5;08;3;460;800;4;0;50
060;5;09;2;323;800;4;0;50
