sep=;
Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;01;042;229;42887;2900;13;0
100;1;02;042;265;50126;3300;12;0
100;1;03;042;272;51868;3200;15;0
100;1;10;042;444;85597;3500;14;0
100;1;04;042;125;23980;3200;14;0
100;1;01;044;166;31086;3300;15;0
100;1;03;044;85;16320;3200;14;0
100;1;02;044;170;33721;3300;13;0
100;1;10;044;163;33033;3600;14;0
100;1;04;044;36;6536;3200;14;0
100;1;01;046;40;7225;3300;14;0
100;1;03;046;170;33009;3100;14;0
100;1;02;046;135;26240;3300;13;0
100;1;10;046;410;80181;3400;14;0
100;1;04;046;161;32219;2900;13;0
100;1;01;048;19;3347;3300;13;0
100;1;02;048;139;26406;3300;13;0
100;1;03;048;38;8529;3200;14;0
100;1;10;048;22;4101;3500;13;0
100;1;04;048;72;13915;3200;13;0
100;1;01;050;115;23158;3200;14;0
100;1;03;050;42;8422;3200;14;0
100;1;02;050;159;31853;3200;14;0
100;1;10;050;83;16017;3600;15;0
100;1;04;050;134;27422;3100;13;0
100;1;01;052;222;43660;3300;14;0
100;1;03;052;119;23381;3400;15;0
100;1;02;052;343;68952;3300;14;0
100;1;10;052;52;10502;3600;14;0
100;1;04;052;7;1292;3200;13;0
100;1;01;054;470;93189;3200;15;0
100;1;03;054;145;29864;3300;15;0
100;1;02;054;214;44391;3300;13;0
100;1;10;054;496;101181;3500;14;0
100;1;04;054;47;10365;3300;14;0
100;1;01;056;296;55554;2900;13;0
100;1;03;056;300;57533;3200;15;0
100;1;02;056;96;18421;3300;13;0
100;1;10;056;83;16208;3500;13;0
100;1;04;056;119;23919;3000;13;0
100;1;01;058;78;14233;3300;14;0
100;1;03;058;242;47328;3400;15;0
100;1;02;058;109;20943;3300;13;0
100;1;10;058;163;32702;3600;15;0
100;1;04;058;39;8575;3300;14;0
100;1;01;060;458;94947;2900;13;0
100;1;03;060;94;18949;3400;15;0
100;1;02;060;161;32817;3300;13;0
100;1;10;060;192;37343;3700;14;0
100;1;04;060;228;49443;3200;14;0
100;1;05;042;326;64594;3300;14;0
100;1;06;042;14;2356;3300;14;0
100;1;08;042;26;5298;3800;14;0
100;1;07;042;108;20084;3700;14;0
100;1;09;042;420;81787;3300;16;0
100;1;05;044;215;42612;3500;15;0
100;1;06;044;11;1817;3300;14;0
100;1;07;044;388;76867;3700;15;0
100;1;08;044;388;78048;3600;14;0
100;1;09;044;136;26865;3300;14;0
