Size;Problem;Instance;Seed;Generations;Time;Fitness;Regenerators;Disconnected
100;1;10;002;23;332;3700;15;0
100;1;02;002;37;509;3300;13;0
100;1;04;002;33;453;3200;14;0
100;1;01;002;32;456;3100;14;0
100;1;03;002;77;1078;3200;14;0
100;1;02;004;23;308;3300;13;0
100;1;01;004;26;341;3200;14;0
100;1;04;004;223;2907;3000;13;0
100;1;10;004;183;2582;3700;15;0
100;1;03;004;25;345;3400;15;0
100;1;02;006;19;241;3300;13;0
100;1;10;006;62;785;3600;15;0
100;1;01;006;25;316;3200;14;0
100;1;04;006;77;1002;3100;14;0
100;1;03;006;29;373;3200;14;0
100;1;02;008;22;286;3300;13;0
100;1;01;008;33;435;2900;13;0
100;1;10;008;23;317;3400;13;0
100;1;04;008;21;280;3200;14;0
100;1;03;008;436;5928;3200;13;0
100;1;02;010;20;269;3400;12;0
100;1;01;010;30;386;2900;13;0
100;1;04;010;21;280;3200;14;0
100;1;10;010;33;440;3600;14;0
100;1;03;010;53;713;3200;14;0
100;1;02;012;17;226;3300;13;0
100;1;01;012;34;460;3100;14;0
100;1;04;012;33;468;3200;14;0
100;1;10;012;25;346;3600;14;0
100;1;03;012;24;335;3200;14;0
100;1;02;014;23;316;3400;13;0
100;1;01;014;26;339;2900;13;0
100;1;10;014;35;473;3600;14;0
100;1;04;014;30;419;2900;13;0
100;1;03;014;197;2788;3200;13;0
100;1;02;016;25;333;3400;12;0
100;1;01;016;26;351;3200;14;0
100;1;04;016;23;312;3200;14;0
100;1;10;016;71;953;3400;13;0
100;1;03;016;25;341;3400;13;0
100;1;02;018;22;291;3300;13;0
100;1;01;018;28;369;2900;13;0
100;1;10;018;28;384;3600;14;0
100;1;04;018;30;416;3100;14;0
100;1;03;018;33;475;3400;14;0
100;1;02;020;20;281;3400;13;0
100;1;01;020;34;469;3200;14;0
100;1;10;020;95;1282;3600;14;0
100;1;04;020;48;644;3200;14;0
100;1;07;002;19;280;3700;14;0
100;1;03;020;22;309;3200;14;0
100;1;05;002;26;415;3400;14;0
100;1;06;002;25;398;3400;14;0
100;1;09;002;63;844;3200;15;0
100;1;07;004;27;364;3800;14;0
100;1;08;002;452;6331;3600;15;0
100;1;05;004;28;389;3400;14;0
100;1;06;004;159;2195;3300;14;0
100;1;09;004;96;1216;3500;16;0
100;1;07;006;22;285;3700;14;0
100;1;08;004;94;1268;3600;16;0
100;1;05;006;161;2002;3400;14;0
100;1;09;006;193;2497;3100;14;0
100;1;06;006;31;400;3300;14;0
100;1;07;008;28;366;3700;14;0
100;1;08;006;153;1889;4000;14;0
100;1;05;008;120;1445;3300;14;0
100;1;09;008;345;4353;3300;16;0
100;1;06;008;358;4769;3200;13;0
100;1;07;010;23;318;3700;14;0
100;1;08;008;33;438;3800;14;0
100;1;05;010;73;960;3400;15;0
100;1;09;010;27;365;3200;15;0
100;1;06;010;33;441;3300;15;0
100;1;07;012;22;289;3800;14;0
100;1;08;010;418;5409;3700;16;0
100;1;05;012;146;1906;3400;14;0
100;1;09;012;140;1730;3400;15;0
100;1;06;012;31;403;3400;14;0
100;1;07;014;23;295;3700;14;0
100;1;08;012;448;5957;3700;16;0
100;1;05;014;207;2503;3400;15;0
100;1;09;014;177;2111;3500;16;0
100;1;06;014;21;278;3600;14;0
100;1;07;016;22;277;3700;14;0
100;1;08;014;39;525;3800;15;0
100;1;05;016;21;277;3600;15;0
100;1;09;016;34;441;3200;15;0
100;1;06;016;28;365;3400;15;0
100;1;07;018;23;292;3700;14;0
100;1;08;016;46;611;3500;15;0
100;1;09;018;30;386;3300;15;0
100;1;05;018;30;395;3400;14;0
100;1;07;020;28;349;3800;15;0
100;1;06;018;127;1616;3700;16;0
100;1;08;018;124;1549;3600;15;0
100;1;09;020;63;792;3200;16;0
100;1;05;020;163;2016;3300;14;0
100;1;06;020;197;2398;3400;14;0
100;3;02;002;82;1537;1400;7;0
100;3;04;002;31;436;1400;7;0
100;1;08;020;268;3570;3600;15;0
100;3;10;002;31;489;1400;7;0
100;3;01;002;28;476;1200;6;0
100;3;02;004;37;550;1400;7;0
100;3;03;002;39;723;1400;7;0
100;3;04;004;40;601;1500;7;0
100;3;01;004;28;409;1200;6;0
100;3;10;004;29;412;1200;6;0
100;3;02;006;47;719;1300;6;0
100;3;03;004;33;507;1400;7;0
100;3;04;006;30;418;1300;6;0
100;3;10;006;57;819;1200;6;0
100;3;01;006;41;615;1200;6;0
100;3;02;008;78;1186;1400;7;0
100;3;03;006;30;417;1400;7;0
100;3;04;008;400;5735;1300;6;0
100;3;10;008;122;1663;1200;6;0
100;3;01;008;25;372;1200;6;0
100;3;03;008;25;379;1400;7;0
100;3;04;010;32;462;1300;6;0
100;3;02;010;36;568;1400;7;0
100;3;01;010;55;846;1200;6;0
100;3;10;010;44;726;1300;6;0
100;3;03;010;248;3383;1200;6;0
100;3;04;012;33;501;1400;7;0
100;3;02;012;34;529;1400;7;0
100;3;01;012;25;363;1200;6;0
100;3;10;012;15;242;1400;7;0
100;3;03;012;29;396;1400;7;0
100;3;04;014;33;500;1400;7;0
100;3;02;014;46;693;1400;7;0
100;3;01;014;27;366;1200;6;0
100;3;10;014;185;2500;1200;6;0
100;3;03;014;39;568;1200;6;0
100;3;04;016;46;670;1400;7;0
100;3;03;016;33;443;1400;7;0
100;3;04;018;24;330;1400;7;0
100;3;02;016;34;511;1400;7;0
100;3;10;016;76;1194;1400;7;0
100;3;01;016;28;398;1200;6;0
100;3;03;018;35;481;1400;7;0
100;3;04;020;53;751;1300;6;0
100;3;10;018;166;2407;1200;6;0
100;3;01;018;31;436;1200;6;0
100;3;02;018;52;852;1300;6;0
100;3;03;020;265;4043;1200;6;0
100;3;09;002;21;318;1500;7;0
100;3;10;020;56;797;1300;6;0
100;3;01;020;22;293;1200;6;0
100;3;02;020;48;725;1400;7;0
100;3;09;004;36;507;1500;7;0
100;3;08;002;34;507;1400;7;0
100;3;06;002;30;483;1400;7;0
100;3;05;002;276;4673;1200;6;0
100;3;09;006;39;570;1500;7;0
100;3;07;002;33;530;1300;6;0
100;3;08;004;115;1789;1400;7;0
100;3;06;004;65;1002;1400;7;0
100;3;05;004;396;6689;1200;6;0
100;3;09;008;51;772;1500;7;0
100;3;08;006;50;697;1400;7;0
100;3;07;004;42;665;1300;6;0
100;3;06;006;40;693;1400;7;0
100;3;05;006;61;976;1200;6;0
100;3;09;010;54;797;1500;7;0
100;3;08;008;51;699;1400;7;0
100;3;07;006;43;701;1300;6;0
100;3;06;008;31;492;1400;7;0
100;3;05;008;46;738;1200;6;0
100;3;09;012;63;982;1500;7;0
100;3;08;010;57;825;1400;7;0
100;3;07;008;43;740;1300;6;0
100;3;06;010;32;503;1400;7;0
100;3;08;012;40;593;1400;7;0
100;3;05;010;55;894;1200;6;0
100;3;09;014;47;681;1400;7;0
100;3;07;010;34;529;1300;6;0
100;3;08;014;32;430;1400;7;0
100;3;09;016;65;922;1500;7;0
100;3;05;012;38;589;1200;6;0
100;3;06;012;26;409;1400;7;0
100;3;07;012;27;397;1400;7;0
100;3;08;016;64;919;1400;7;0
100;3;09;018;49;754;1400;7;0
100;3;05;014;55;824;1200;6;0
100;3;06;014;49;799;1400;7;0
100;3;08;018;53;734;1400;7;0
100;3;07;014;23;348;1300;6;0
100;3;09;020;43;617;1400;7;0
100;3;08;020;22;287;1400;7;0
100;3;06;016;36;528;1400;7;0
100;3;05;016;37;555;1200;6;0
100;3;07;016;24;362;1300;6;0
100;5;04;002;30;461;800;4;0
100;5;03;002;32;454;800;4;0
100;3;05;018;185;2621;1200;6;0
100;3;06;018;23;330;1400;7;0
100;3;07;018;37;597;1300;6;0
100;5;03;004;29;414;800;4;0
100;3;05;020;34;491;1400;7;0
100;5;04;004;27;427;800;4;0
100;3;06;020;38;591;1400;7;0
100;3;07;020;38;568;1300;6;0
100;5;01;002;37;521;800;4;0
100;5;03;006;26;373;800;4;0
100;5;10;002;27;405;800;4;0
100;5;01;004;33;440;800;4;0
100;5;04;006;23;340;800;4;0
100;5;02;002;203;3371;800;4;0
100;5;03;008;31;427;800;4;0
100;5;10;004;28;434;800;4;0
100;5;01;006;20;262;800;4;0
100;5;02;004;24;361;800;4;0
100;5;03;010;24;334;800;4;0
100;5;04;008;31;454;800;4;0
100;5;01;008;13;163;800;4;0
100;5;10;006;31;478;800;4;0
100;5;03;012;27;363;800;4;0
100;5;01;010;26;357;800;4;0
100;5;02;006;26;395;800;4;0
100;5;04;010;22;325;800;4;0
100;5;01;012;32;471;800;4;0
100;5;10;008;15;207;800;4;0
100;5;02;008;29;448;800;4;0
100;5;03;014;28;392;800;4;0
100;5;04;012;19;265;800;4;0
100;5;01;014;51;717;800;4;0
100;5;03;016;54;780;800;4;0
100;5;02;010;36;549;800;4;0
100;5;10;010;21;314;800;4;0
100;5;01;016;28;375;800;4;0
100;5;04;014;24;363;800;4;0
100;5;03;018;28;389;800;4;0
100;5;01;018;29;427;800;4;0
100;5;02;012;78;1435;900;4;0
100;5;10;012;22;341;800;4;0
100;5;01;020;27;351;800;4;0
100;5;03;020;41;620;800;4;0
100;5;04;016;19;288;800;4;0
100;5;02;014;32;493;800;4;0
100;5;10;014;47;810;800;4;0
100;5;08;002;44;704;800;4;0
100;5;04;018;25;368;800;4;0
100;5;05;002;38;614;800;4;0
100;5;02;016;26;391;900;4;0
100;5;08;004;35;491;800;4;0
100;5;10;016;29;471;800;4;0
100;5;05;004;13;161;800;4;0
100;5;02;018;29;443;800;4;0
100;5;04;020;23;331;800;4;0
100;5;08;006;72;1142;800;4;0
100;5;10;018;24;356;800;4;0
100;5;02;020;25;358;800;4;0
100;5;09;002;20;298;800;4;0
100;5;05;006;22;305;800;4;0
100;5;08;008;33;511;800;4;0
100;5;07;002;21;296;800;4;0
100;5;10;020;22;320;800;4;0
100;5;05;008;24;326;800;4;0
100;5;09;004;17;236;800;4;0
100;5;08;010;54;858;800;4;0
100;5;07;004;23;321;800;4;0
100;5;06;002;34;540;800;4;0
100;5;08;012;24;353;800;4;0
100;5;05;010;23;310;800;4;0
100;5;09;006;24;367;800;4;0
100;5;07;006;62;877;800;4;0
100;5;08;014;25;373;800;4;0
100;5;05;012;23;322;800;4;0
100;5;06;004;27;405;800;4;0
100;5;07;008;29;396;800;4;0
100;5;09;008;18;256;800;4;0
100;5;08;016;217;3504;800;4;0
100;5;07;010;16;213;800;4;0
100;5;06;006;26;371;800;4;0
100;5;05;014;25;370;800;4;0
100;5;07;012;32;438;800;4;0
100;5;09;010;18;250;800;4;0
100;5;08;018;26;398;800;4;0
100;5;06;008;23;342;800;4;0
100;5;07;014;27;377;800;4;0
100;5;05;016;15;197;800;4;0
100;5;08;020;26;383;800;4;0
100;5;07;016;20;263;800;4;0
100;5;09;012;37;613;800;4;0
100;5;05;018;30;408;800;4;0
100;5;06;010;33;508;800;4;0
100;5;07;018;31;438;800;4;0
100;5;05;020;24;329;800;4;0
100;7;03;002;12;223;600;3;0
100;5;09;014;33;516;800;4;0
100;5;07;020;31;459;800;4;0
100;5;06;012;19;270;800;4;0
100;7;01;002;13;397;600;3;0
100;7;03;004;14;171;600;3;0
100;7;02;002;48;679;500;2;0
100;5;09;016;31;504;800;4;0
100;7;01;004;14;157;600;3;0
100;7;03;006;16;195;600;3;0
100;5;06;014;30;469;800;4;0
100;7;02;004;12;137;600;3;0
100;7;01;006;16;188;600;3;0
100;5;09;018;41;689;800;4;0
100;7;03;008;12;138;600;3;0
100;5;06;016;59;957;800;4;0
100;7;02;006;419;5407;500;2;0
100;7;01;008;14;160;600;3;0
100;5;09;020;16;217;800;4;0
100;7;03;010;16;192;600;3;0
100;7;02;008;84;1333;500;2;0
100;5;06;018;42;653;800;4;0
100;7;01;010;17;198;600;3;0
100;7;04;002;14;163;600;3;0
100;7;03;012;13;151;600;3;0
100;7;01;012;16;184;600;3;0
100;7;02;010;13;145;600;3;0
100;7;04;004;14;158;600;3;0
100;7;01;014;13;137;600;3;0
100;5;06;020;23;337;800;4;0
100;7;03;014;12;134;600;3;0
100;7;02;012;17;209;500;2;0
100;7;04;006;12;132;600;3;0
100;7;01;016;16;177;600;3;0
100;7;10;002;14;176;600;3;0
100;7;03;016;13;151;600;3;0
100;7;02;014;13;146;600;3;0
100;7;04;008;13;143;600;3;0
100;7;01;018;13;147;600;3;0
100;7;10;004;14;166;600;3;0
100;7;04;010;13;144;600;3;0
100;7;03;018;14;165;600;3;0
100;7;02;016;17;207;600;3;0
100;7;01;020;14;159;600;3;0
100;7;10;006;16;200;600;3;0
100;7;04;012;13;146;600;3;0
100;7;03;020;12;135;600;3;0
100;7;02;018;51;670;500;2;0
100;7;05;002;12;155;600;3;0
100;7;04;014;14;157;600;3;0
100;7;10;008;12;136;600;3;0
100;7;02;020;15;189;600;3;0
100;7;05;004;15;172;600;3;0
100;7;08;002;17;233;600;3;0
100;7;04;016;14;160;600;3;0
100;7;10;010;14;169;600;3;0
100;7;07;002;13;161;600;3;0
100;7;05;006;14;158;600;3;0
100;7;04;018;14;157;600;3;0
100;7;08;004;12;133;600;3;0
100;7;10;012;13;153;600;3;0
100;7;05;008;14;158;600;3;0
100;7;04;020;16;188;600;3;0
100;7;07;004;12;134;600;3;0
100;7;10;014;16;208;600;3;0
100;7;08;006;20;269;600;3;0
100;7;05;010;14;159;600;3;0
100;7;07;006;15;181;600;3;0
100;7;09;002;15;238;600;3;0
100;7;10;016;12;140;600;3;0
100;7;05;012;12;129;600;3;0
100;7;08;008;14;163;600;3;0
100;7;07;008;12;137;600;3;0
100;7;09;004;15;181;600;3;0
100;7;10;018;14;167;600;3;0
100;7;05;014;14;149;600;3;0
100;7;09;006;14;153;600;3;0
100;7;08;010;14;162;600;3;0
100;7;07;010;14;168;600;3;0
100;7;05;016;15;181;600;3;0
100;7;10;020;14;171;600;3;0
100;7;09;008;14;165;600;3;0
100;7;08;012;11;127;600;3;0
100;7;07;012;12;134;600;3;0
100;7;05;018;15;184;600;3;0
100;7;09;010;12;131;600;3;0
100;7;06;002;15;473;600;3;0
100;7;08;014;14;167;600;3;0
100;7;07;014;15;189;600;3;0
100;7;05;020;15;179;600;3;0
100;7;09;012;12;131;600;3;0
100;7;06;004;15;186;600;3;0
100;7;08;016;13;152;600;3;0
100;7;09;014;11;121;600;3;0
100;9;01;002;11;141;400;2;0
100;7;07;016;13;152;600;3;0
100;7;06;006;13;151;600;3;0
100;9;01;004;12;121;400;2;0
100;7;08;018;15;183;600;3;0
100;7;07;018;13;150;600;3;0
100;7;09;016;12;139;600;3;0
100;9;01;006;13;132;400;2;0
100;7;06;008;15;194;600;3;0
100;7;07;020;14;165;600;3;0
100;7;08;020;13;151;600;3;0
100;7;09;018;12;134;600;3;0
100;9;01;008;13;129;400;2;0
100;9;02;002;13;152;400;2;0
100;9;03;002;12;138;400;2;0
100;7;06;010;15;181;600;3;0
100;9;01;010;11;113;400;2;0
100;7;09;020;14;164;600;3;0
100;9;02;004;12;130;400;2;0
100;9;03;004;13;139;400;2;0
100;7;06;012;16;208;600;3;0
100;9;01;012;13;139;400;2;0
100;9;04;002;13;185;400;2;0
100;9;02;006;12;124;400;2;0
100;9;03;006;12;128;400;2;0
100;9;01;014;12;127;400;2;0
100;9;04;004;12;123;400;2;0
100;7;06;014;14;168;600;3;0
100;9;02;008;12;129;400;2;0
100;9;03;008;12;147;400;2;0
100;9;01;016;13;140;400;2;0
100;9;04;006;13;128;400;2;0
100;9;02;010;13;130;400;2;0
100;7;06;016;13;150;600;3;0
100;9;03;010;12;125;400;2;0
100;9;04;008;14;142;400;2;0
100;9;01;018;13;133;400;2;0
100;9;02;012;14;141;400;2;0
100;7;06;018;14;164;600;3;0
100;9;03;012;12;124;400;2;0
100;9;04;010;13;131;400;2;0
100;9;01;020;12;119;400;2;0
100;9;02;014;13;130;400;2;0
100;9;03;014;12;124;400;2;0
100;9;04;012;12;118;400;2;0
100;9;05;002;13;143;400;2;0
100;7;06;020;16;204;600;3;0
100;9;02;016;11;108;400;2;0
100;9;03;016;12;123;400;2;0
100;9;05;004;12;125;400;2;0
100;9;04;014;11;110;400;2;0
100;9;02;018;11;108;400;2;0
100;9;10;002;12;184;400;2;0
