File;Generations;Time;Fitness;Regenerators;Disconnected
weight_dataN100P1Inst1.txt;341;106895;9600;23;6
weight_dataN100P1Inst10.txt;119;37277;11700;25;8
weight_dataN100P1Inst2.txt;482;149498;10200;25;5
weight_dataN100P1Inst3.txt;453;142748;9000;24;4
weight_dataN100P1Inst4.txt;64;19676;8900;26;3
weight_dataN100P1Inst5.txt;185;57143;11100;31;5
weight_dataN100P1Inst6.txt;435;134879;10500;27;5
weight_dataN100P1Inst7.txt;329;102289;10400;31;2
weight_dataN100P1Inst8.txt;250;77398;10100;27;4
weight_dataN100P1Inst9.txt;496;151022;9200;24;6
weight_dataN100P3Inst1.txt;297;93656;3500;10;1
weight_dataN100P3Inst10.txt;340;112188;4100;12;1
weight_dataN100P3Inst2.txt;202;61864;5200;16;0
weight_dataN100P3Inst3.txt;50;14557;4300;12;1
weight_dataN100P3Inst4.txt;385;123557;4500;14;0
weight_dataN100P3Inst5.txt;379;117478;3500;9;2
weight_dataN100P3Inst6.txt;142;42476;3900;11;1
weight_dataN100P3Inst7.txt;35;8189;4400;10;3
weight_dataN100P3Inst8.txt;210;62285;3000;9;1
weight_dataN100P3Inst9.txt;32;7866;4300;13;0
weight_dataN100P5Inst1.txt;346;99222;3100;9;1
weight_dataN100P5Inst10.txt;124;35765;1200;4;0
weight_dataN100P5Inst2.txt;395;134555;2700;9;0
weight_dataN100P5Inst3.txt;446;150283;2300;6;1
weight_dataN100P5Inst4.txt;250;83212;2400;6;1
weight_dataN100P5Inst5.txt;168;45854;1900;7;0
weight_dataN100P5Inst6.txt;226;59930;1400;5;0
weight_dataN100P5Inst7.txt;79;18082;2400;7;1
weight_dataN100P5Inst8.txt;40;5025;2200;7;0
weight_dataN100P5Inst9.txt;43;5692;1400;5;0
weight_dataN100P7Inst1.txt;73;12195;1000;4;0
weight_dataN100P7Inst10.txt;62;11988;2400;5;2
weight_dataN100P7Inst2.txt;40;4597;1500;5;0
weight_dataN100P7Inst3.txt;194;51495;1900;6;0
weight_dataN100P7Inst4.txt;485;150217;2200;6;0
weight_dataN100P7Inst5.txt;58;8191;1200;5;0
weight_dataN100P7Inst6.txt;56;7959;1100;4;0
weight_dataN100P7Inst7.txt;357;107401;1100;5;0
weight_dataN100P7Inst8.txt;46;5763;1100;4;0
weight_dataN100P7Inst9.txt;62;10649;2000;6;0
weight_dataN100P9Inst1.txt;45;5036;1000;3;0
weight_dataN100P9Inst10.txt;45;5206;700;3;0
weight_dataN100P9Inst2.txt;49;6252;1200;5;0
weight_dataN100P9Inst3.txt;46;5369;1400;4;0
weight_dataN100P9Inst4.txt;52;6587;1000;3;0
weight_dataN100P9Inst5.txt;42;5050;1000;3;0
weight_dataN100P9Inst6.txt;48;5989;1200;4;0
weight_dataN100P9Inst7.txt;48;5876;600;2;0
weight_dataN100P9Inst8.txt;54;6623;800;2;0
weight_dataN100P9Inst9.txt;123;24838;500;2;0
weight_dataN40P1Inst1.txt;446;52871;8000;13;9
weight_dataN40P1Inst10.txt;163;19935;6700;9;8
weight_dataN40P1Inst2.txt;105;11844;6500;9;7
weight_dataN40P1Inst3.txt;77;8975;5500;11;5
weight_dataN40P1Inst4.txt;22;2385;7400;12;8
weight_dataN40P1Inst5.txt;494;59727;8200;7;13
weight_dataN40P1Inst6.txt;136;16730;10200;10;14
weight_dataN40P1Inst7.txt;474;57036;6900;13;7
weight_dataN40P1Inst8.txt;88;10551;7600;8;10
weight_dataN40P1Inst9.txt;74;8531;7700;10;10
weight_dataN40P3Inst1.txt;258;30036;2100;8;0
weight_dataN40P3Inst10.txt;50;5428;2000;6;0
weight_dataN40P3Inst2.txt;21;1997;1900;6;0
weight_dataN40P3Inst3.txt;265;31036;1800;7;0
weight_dataN40P3Inst4.txt;91;10330;2100;7;0
weight_dataN40P3Inst5.txt;352;42259;1700;6;0
weight_dataN40P3Inst6.txt;398;44841;2100;8;0
weight_dataN40P3Inst7.txt;194;21315;2100;7;0
weight_dataN40P3Inst8.txt;229;27985;2300;9;0
weight_dataN40P3Inst9.txt;135;14808;2200;6;1
weight_dataN40P5Inst1.txt;213;24116;1400;5;0
weight_dataN40P5Inst10.txt;23;2164;1500;5;0
weight_dataN40P5Inst2.txt;262;30534;1400;5;0
weight_dataN40P5Inst3.txt;13;1039;1500;5;0
weight_dataN40P5Inst4.txt;9;432;800;4;0
weight_dataN40P5Inst5.txt;15;1324;1900;7;0
weight_dataN40P5Inst6.txt;286;30363;1600;6;0
weight_dataN40P5Inst7.txt;107;10810;1500;5;0
weight_dataN40P5Inst8.txt;63;6185;1300;5;0
weight_dataN40P5Inst9.txt;93;9142;1700;6;0
weight_dataN40P7Inst1.txt;181;20153;600;2;0
weight_dataN40P7Inst10.txt;40;3643;1400;5;0
weight_dataN40P7Inst2.txt;14;818;1100;4;0
weight_dataN40P7Inst3.txt;13;691;1000;4;0
weight_dataN40P7Inst4.txt;11;573;1100;4;0
weight_dataN40P7Inst5.txt;139;14132;1100;4;0
weight_dataN40P7Inst6.txt;66;6507;1400;5;0
weight_dataN40P7Inst7.txt;17;873;1100;3;0
weight_dataN40P7Inst8.txt;85;9064;1500;5;0
weight_dataN40P7Inst9.txt;18;1088;1400;5;0
weight_dataN40P9Inst1.txt;16;764;700;2;0
weight_dataN40P9Inst10.txt;171;17391;700;3;0
weight_dataN40P9Inst2.txt;13;591;800;3;0
weight_dataN40P9Inst3.txt;40;2933;400;2;0
weight_dataN40P9Inst4.txt;18;810;700;2;0
weight_dataN40P9Inst5.txt;16;910;1100;3;0
weight_dataN40P9Inst6.txt;29;2331;700;3;0
weight_dataN40P9Inst7.txt;17;905;600;3;0
weight_dataN40P9Inst8.txt;16;724;700;2;0
weight_dataN40P9Inst9.txt;20;1025;500;2;0
weight_dataN60P1Inst1.txt;343;64561;7500;13;8
weight_dataN60P1Inst10.txt;266;47169;7300;17;5
weight_dataN60P1Inst2.txt;440;76035;7500;16;5
weight_dataN60P1Inst3.txt;271;50335;7200;11;9
weight_dataN60P1Inst4.txt;347;67137;7400;14;7
weight_dataN60P1Inst5.txt;271;45924;7600;15;6
weight_dataN60P1Inst6.txt;401;67146;9700;21;8
weight_dataN60P1Inst7.txt;492;80594;7000;18;3
weight_dataN60P1Inst8.txt;479;77965;7600;14;7
weight_dataN60P1Inst9.txt;88;14142;7500;15;6
weight_dataN60P3Inst1.txt;353;56524;3400;9;1
weight_dataN60P3Inst10.txt;142;22459;2100;8;0
weight_dataN60P3Inst2.txt;33;4253;2900;8;1
weight_dataN60P3Inst3.txt;109;16596;2400;9;0
weight_dataN60P3Inst4.txt;283;46038;2600;9;0
weight_dataN60P3Inst5.txt;86;13576;2700;11;0
